mesurement id;Destination;hop numbers from mPlane;hop numbers from FranceIX;hop numbers from LISP-Lab;Country;Continent
5276508;72.21.206.80;18;23;31;US;NA
5276522;172.217.19.131;8;6;18;US;NA
5276746;154.53.224.158;8;10;26;US;NA
5276919;104.156.81.84;10;10;17;US;NA
5277298;209.15.209.70;9;10;21;CA;NA
5277165;69.196.244.99;13;18;25;US;NA
5276433;140.205.220.96;32;32;32;CN;AS
5276837;212.97.32.174;8;11;19;IT;EU
5276682;5.226.176.16;12;12;22;GB;EU
5276688;108.174.10.19;7;12;19;US;NA
5276995;104.20.75.106;8;6;16;US;NA
5276510;198.11.132.250;25;29;32;US;NA
5276911;54.230.196.80;13;13;24;US;NA
5277262;81.17.22.114;11;9;18;CH;EU
5277230;59.106.98.139;14;17;24;JP;AS
5276464;193.51.224.148;8;5;15;FR;EU
5277142;92.242.43.216;12;10;22;RU;EU
5276566;202.108.8.82;20;16;32;CN;AS
5277240;5.79.69.118;13;12;20;NL;EU
5277252;124.153.64.100;13;10;21;IN;AS
5276597;104.20.0.4;8;6;16;US;NA
5276645;172.217.19.131;8;6;18;US;NA
5277432;199.83.134.216;8;10;26;US;NA
5277472;104.31.135.74;8;6;16;US;NA
5276807;103.25.22.168;22;26;30;CN;AS
5276724;172.217.19.131;8;6;18;US;NA
5277065;104.101.185.194;9;6;22;US;NA
5276859;104.25.24.99;8;6;16;US;NA
5276423;98.139.183.24;17;15;26;US;NA
5276923;66.155.40.250;8;9;22;US;NA
5276591;216.18.168.1;8;10;20;US;NA
5277424;104.20.43.155;8;6;16;US;NA
5277208;104.28.27.209;8;6;16;US;NA
5276427;104.244.42.65;7;5;14;US;NA
5276965;31.222.68.33;12;11;19;GB;EU
5277442;117.79.92.119;15;24;28;CN;AS
5276907;124.243.192.30;16;25;28;CN;AS
5277446;104.156.81.70;10;10;17;US;NA
5276710;64.210.135.134;8;10;20;US;NA
5276863;176.53.43.6;17;14;20;TR;AS
5276651;124.95.181.184;32;32;32;CN;AS
5277083;172.217.16.67;8;11;18;US;NA
5277057;104.20.69.204;8;6;16;US;NA
5276997;23.206.36.133;8;4;13;NL;EU
5276887;218.211.33.75;11;18;29;TW;AS
5277238;72.21.91.8;8;10;20;US;NA
5276839;62.153.159.92;8;9;19;DE;EU
5276871;119.28.48.239;11;12;23;CN;AS
5277474;62.116.130.8;8;10;19;DE;EU
5276450;114.134.80.162;14;12;20;HK;AS
5276883;172.217.19.131;8;6;18;US;NA
5277089;62.138.116.25;15;14;20;DE;EU
5277357;54.163.249.107;16;20;28;US;NA
5276891;208.85.40.20;6;10;18;US;NA
5276736;172.217.19.131;8;6;18;US;NA
5276903;140.205.174.2;32;32;32;CN;AS
5277055;146.185.29.109;7;8;26;GB;EU
5277288;42.121.252.58;32;32;32;CN;AS
5276967;118.145.26.112;23;21;31;CN;AS
5276613;223.223.182.210;25;26;30;CN;AS
5276639;42.236.9.70;24;17;32;CN;AS
5277324;222.223.239.125;15;24;27;CN;AS
5277426;37.48.119.34;13;13;20;NL;EU
5276791;172.217.19.131;8;6;18;US;NA
5277214;173.192.117.80;9;9;16;US;NA
5277045;104.16.165.50;8;6;16;US;NA
5276947;184.51.148.169;7;10;19;NL;EU
5276738;23.200.86.143;8;7;17;FR;EU
5277438;151.101.16.144;10;12;21;US;NA
5276502;23.206.4.202;8;4;13;US;NA
5277440;121.40.21.118;17;26;29;CN;AS
5277136;91.216.63.240;11;16;23;ES;EU
5277029;54.251.103.25;13;10;24;SG;AS
5276448;95.213.11.146;8;8;18;RU;EU
5276441;183.79.135.206;17;13;27;JP;AS
5277408;213.180.193.50;10;10;19;RU;EU
5276843;125.6.146.13;14;14;26;JP;AS
5276603;110.76.19.33;31;32;32;CN;AS
5276921;202.61.113.35;13;12;23;ID;AS
5276776;104.24.3.15;8;6;16;US;NA
5277183;213.174.158.154;8;13;22;US;NA
5276454;172.217.19.131;8;6;18;US;NA
5276480;140.205.94.193;32;32;32;CN;AS
5277450;37.58.17.122;17;15;26;TR;AS
5277025;161.47.7.14;10;14;22;US;NA
5276552;88.208.18.30;8;9;20;NL;EU
5277448;104.20.51.56;8;6;16;US;NA
5277191;119.254.11.66;19;28;30;CN;AS
5277462;192.0.79.33;11;7;16;US;NA
5276528;216.58.208.195;8;11;18;US;NA
5277200;151.101.65.52;10;10;17;US;NA
5276793;123.103.57.11;20;26;30;CN;AS
5276726;104.94.192.167;9;6;22;US;NA
5277466;118.184.184.70;17;26;29;CN;AS
5276706;104.20.60.241;8;6;16;US;NA
5277007;203.209.152.98;13;13;25;JP;AS
5276653;104.16.56.23;8;6;16;US;NA
5277039;213.92.16.101;9;13;20;IT;EU
5276585;193.51.224.177;8;5;15;FR;EU
5276797;117.21.226.199;14;23;26;CN;AS
5276633;96.43.149.26;9;12;21;US;NA
5276795;104.16.52.162;8;6;16;US;NA
5277224;185.72.231.14;11;7;17;RU;EU
5276722;104.19.206.29;8;6;16;US;NA
5276452;77.88.55.50;9;9;19;RU;EU
5276819;185.31.26.232;9;12;21;PL;EU
5276720;104.20.29.48;8;6;16;US;NA
5277079;104.31.76.24;8;6;16;US;NA
5276799;104.18.41.167;8;6;16;US;NA
5276661;23.206.35.117;8;4;13;NL;EU
5277434;121.40.42.87;17;26;30;CN;AS
