mesurement id;Destination;median(avg RTT) from Gandi;median(avg RTT) from mPlane;median(avg RTT) from FranceIX;median(avg RTT) from LIP6;median(avg RTT) from LISP-Lab;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LIP6;variance from LISP-Lab;Country;Continent
9961937;46.245.163.1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;TR;AS
9961806;184.51.148.169;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NL;EU
9961490;23.200.86.152;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FR;EU
9961979;38.102.136.104;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9962200;65.97.58.16;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;GB;EU
9962277;120.55.238.185;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9961188;125.88.190.56;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9961762;23.3.148.75;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NL;EU
9961574;69.172.201.47;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961545;194.132.198.165;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JP;AS
9961796;119.145.147.181;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CN;AS
9961323;50.97.35.152;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961822;52.207.3.146;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961975;54.83.2.218;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;US;NA
9961484;23.200.86.143;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FR;EU
