destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
94.100.180.200;mPlane;67.394;58.595;71.916;58.5;67.709;58.564;59.535;58.723;58.416;58.492;58.492;58.614;58.498;62.347;59.97;58.481;59.319;63.845;60.482;63.372;58.483;60.213;58.48;58.435;62.229;58.694;58.442;65.697;58.471;61.786;58.532;58.447;58.488;58.63;58.504;68.755
94.100.180.200;FranceIX;55.728071;55.63603;55.719107;55.66823;55.878986;55.642935;55.976205;55.554823;55.669814;55.485716;55.512566;55.388396;55.601792;55.677834;55.795134;55.927307;55.764645;55.843912;55.889603;55.76119;55.78165;55.590247;55.432334;55.874994;56.071957;55.7738;55.697913;55.88145;55.673665;55.948231;55.75826;55.732576;55.63456;55.804783;55.700137;55.779385
94.100.180.200;rmd;61.58888;61.609255;61.567895;61.33867;61.472335;61.78945;61.70674;61.54603;61.72682;61.53537;61.489075;61.27616;61.363655;61.52025;61.405065;61.52659;61.402895;61.18147;61.26926;61.49037;61.54902;61.659005;61.56261;61.845635;61.42885;62.037825;61.816435;61.30186;61.82971;61.533515;61.17905;61.602595;66.68925;66.75014;66.68391;67.05786
94.100.180.200;LISP-Lab;64.941485;104.23652;64.76932;64.602595;64.895845;65.753035;64.710485;64.650295;65.137095;64.96227;65.43893;66.66161;65.27529;67.65233;64.794185;65.606215;64.721925;65.041485;64.71463;65.45048;69.43468;65.78444;65.718025;64.85014;64.570385;65.4324;72.240985;64.95813;64.76303;65.010095;64.836545;78.540155;83.15719;68.2373;64.638395;64.62806
66.6.41.30;mPlane;84.299;91.974;84.244;84.312;84.308;84.28;88.519;88.953;84.302;84.334;93.384;84.278;89.522;92.908;84.323;84.363;84.258;86.689;84.277;84.423;84.318;84.34;84.306;84.337;84.3;94.038;84.271;84.415;84.313;84.275;84.338;84.295;84.364;84.326;84.352;84.285
66.6.41.30;FranceIX;91.246956;195.600927;233.80202;189.809668;238.461217;141.041606;91.864964;92.031647;91.895638;92.220899;91.887628;91.957549;91.946881;143.704495;91.935436;92.157251;91.796018;91.994424;91.812647;91.932551;91.861079;91.705191;91.863464;91.818327;91.796153;91.925131;91.904157;91.763539;91.892783;92.118073;92.146277;92.136462;92.332384;92.137957;92.462603;92.033437
66.6.41.30;rmd;82.84875;82.73678;82.905485;82.88986;82.82668;83.1261;83.26563;83.295005;83.29406;82.858;82.926815;83.073545;82.86286;83.05617;82.852865;83.44387;82.79864;83.00736;82.88275;83.113215;83.27031;82.84481;82.960545;83.373795;83.47531;83.394415;82.93559;82.917645;82.93558;83.46829;82.90349;82.88211;-1;80.04248;79.73031;80.02478
66.6.41.30;LISP-Lab;108.16573;312.193185;275.73266;297.43588;345.979715;153.055185;105.76988;105.59176;131.42327;105.57637;105.68673;105.58284;106.1122;155.247975;109.03673;105.593275;105.645425;105.61518;105.961315;105.758395;117.09821;105.704375;105.881015;105.355175;105.813745;110.17246;107.542255;107.474425;105.560285;105.64248;105.836665;118.52171;120.685885;107.558175;105.6845;105.558975
123.125.116.19;FranceIX;366.759532;371.126861;480.862983;476.995167;408.827307;352.361898;354.901212;361.72853;374.862803;368.562358;361.051654;369.996745;389.974492;372.612437;375.377547;375.324065;374.278655;377.651012;380.561766;380.068473;380.400563;487.003835;380.383919;380.503928;380.187143;380.657716;379.740412;379.419596;379.719007;377.413689;380.687154;380.159729;476.860572;376.246954;483.35909;483.623568
123.125.116.19;mPlane;331.163;332.288;334.938;331.654;331.416;308.391;331.043;334.093;319.978;332.555;329.057;336.796;333.244;346.412;340.412;331.324;341.577;343.906;340.523;340.223;340.833;341.729;342.018;338.65;339.106;348.448;341.238;339.812;340.093;336.184;338.77;344.016;340.971;339.117;336.802;341.374
