destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
110.75.114.89;rmd;358.67264;310.7279;310.40606;310.025745;359.05853;314.01719;357.773045;-1;358.318485;357.90923;359.33298;358.901985;309.579505;310.680035;313.38105;310.10077;358.99452;358.23136;358.04411;358.75911;309.765995;-1;359.356915;359.209265;359.918865;310.31348;327.69903;310.594495;310.21815;358.10333;332.023845;372.551975;-1;309.06901;309.61288;309.515365
74.125.136.191;FranceIX;13.882977;13.693155;13.668991;13.668912;13.664776;13.732799;13.668016;14.177893;13.988342;13.952693;14.131016;13.932859;13.91749;13.671856;13.816245;13.672421;13.519653;13.747542;13.785781;13.722564;13.67624;13.746677;13.719084;13.915034;13.542591;13.765437;13.614658;13.634488;13.544102;13.740643;13.713744;13.739498;13.738068;13.621998;13.69636;14.103087
74.125.136.191;mPlane;16.412;27.239;25.232;16.621;18.616;23.739;19.188;16.555;25.497;19.55;32.319;16.319;28.997;23.269;17.111;21.433;20.74;25.715;25.443;26.828;19.782;22.742;26.505;20.353;17.509;21.388;30.537;26.028;26.263;21.691;21.118;25.68;16.264;25.867;27.74;17.231
74.125.136.191;LISP-Lab;31.3163;30.94253;31.324935;30.967295;31.096315;35.43204;31.639445;31.780475;36.506325;31.797075;31.5388;31.54699;32.3721;34.752575;42.678455;31.793805;32.177745;31.82134;31.841915;37.10717;46.746635;31.50277;48.658995;31.09264;-1;35.97949;33.220035;31.22355;31.3744;31.3572;32.20601;37.269095;38.03948;50.766665;31.74625;32.252765
74.125.136.191;rmd;16.859385;16.36495;17.88395;17.30713;17.163555;17.09247;17.397925;16.606465;17.01157;17.182035;16.75519;16.882775;17.138095;16.865495;16.45828;17.06355;17.20517;17.062675;17.33848;17.196105;17.04131;17.19625;17.022805;17.06547;17.52442;17.47639;15.937515;16.097445;15.917535;15.68443;15.521655;16.3883;-1;17.3264;17.37745;17.193345
192.0.78.17;FranceIX;10.472735;10.525722;10.539097;10.490859;10.574136;10.443231;10.449071;10.274228;10.384293;10.353875;11.909032;10.405867;10.599394;10.297608;10.430361;10.444821;10.445031;10.549992;10.842815;11.296374;10.693296;10.390477;11.02504;10.703795;10.414497;11.317013;10.345426;10.448796;10.294368;10.553646;10.321451;10.59429;15.242377;10.507293;10.387513;10.658472
192.0.78.17;mPlane;17.038;12.305;19.597;17.977;10.695;21.498;14.142;19.998;18.957;19.273;12.114;10.912;15.07;21.748;17.508;10.702;21.554;17.246;11.393;10.995;10.715;10.696;14.317;16.042;12.35;16.518;15.573;20.4;17.391;12.62;16.491;15.532;10.803;20.702;19.621;16.135
192.0.78.17;LISP-Lab;22.59001;23.857475;25.683185;33.26323;51.007275;24.3503;35.24075;40.62152;50.633445;72.716045;23.82292;33.735025;25.60702;27.394135;46.464235;22.660935;34.996945;28.2701;22.318125;23.645985;55.29464;41.19883;27.208065;24.609745;-1;46.624485;28.376725;31.5574;52.122815;33.12853;24.659205;50.551025;36.115985;35.846795;38.787825;62.395755
192.0.78.17;rmd;13.354025;13.33089;13.493275;13.288865;13.02405;13.53621;13.16103;13.844465;13.17022;12.918745;13.427195;13.338885;13.100265;13.38192;17.99059;13.151175;13.602485;13.34846;13.46614;13.437395;12.813665;12.981685;14.24664;13.50134;14.46658;13.24258;14.236475;12.97386;13.34888;13.276375;13.28982;13.528065;-1;13.31696;12.883345;13.154195
198.41.209.143;FranceIX;10.143364;9.883926;10.317661;9.833413;10.005745;10.401798;10.033823;10.073247;9.848027;10.020744;10.12296;10.11413;9.721657;10.030009;10.096491;10.067887;10.598599;10.158514;11.351252;10.322906;10.319441;10.098321;10.056713;9.89574;10.23004;11.243266;9.963451;10.064932;10.418552;9.833879;10.532608;9.922734;10.183837;10.087646;10.23962;10.22589
