mesurement id;Destination;median(min RTT) from Gandi;median(min RTT) from mPlane;median(min RTT) from LISP-Lab;median(min RTT) from FranceIX;median(min RTT) from LIP6;variance from Gandi;variance from mPlane;variance from LISP-Lab;variance from FranceIX;variance from LIP6;Country;Continent
6964280;5.79.69.118;38.582025000000002;16.72297;27.722204999999999;14.140629000000001;72.653582;0.17880932945662764;0.17155133935520991;14.332108297871935;0.032338530222503402;1215.1314416480054;NL;EU
6963713;42.156.162.55;367.28032949999999;354.5462675;350.51390249999997;294.89024499999999;312.34067100000004;5299.5976842993623;4960.3603145188708;2667.843041265849;506.36493829501194;2459.9143546442156;CN;AS
6963655;223.223.182.210;328.34387400000003;345.44881500000002;253.74364499999999;401.116512;299.568443;691.71199853736334;1344.5126035983226;816.63604395143568;2526.4240484833686;12071.949657816791;CN;AS
6964214;172.217.16.68;2.5474570000000001;1.9346449999999999;19.636945000000001;1.6304289999999999;99.955988000000005;277.39527018231934;0.040925830326036791;6.2688283653710197;0.020511105126236669;45827.894796898145;US;NA
6963583;111.206.227.118;387.36852599999997;342.21548250000001;379.12200250000001;375.99114699999996;482.18352049999999;24064.409414782971;1632.1501195237181;1582.8679637308396;2180.4242474449297;3736.093855858197;CN;AS
6964034;121.14.241.75;393.78631899999999;414.69763250000005;339.10212999999999;307.96652900000004;330.13024200000001;45205.699362486092;2584.5329332050537;3809.0886410421308;182.05768700286177;21541.908100258093;CN;AS
6963772;104.20.93.127;4.2048009999999998;1.8446625000000001;36.149032500000004;1.0736965000000001;76.153359499999993;26.694045888852624;1.7394603690767163;11.421779434377566;2.4608197000898677;472.56510618335261;US;NA
6964238;120.134.33.10;295.70693999999997;327.56542000000002;297.53931499999999;317.544331;367.35674599999999;47.069749486714727;8.7550478991056409;614.03999284516556;261.35545505928201;441.79770760999099;CN;AS
6964204;151.101.129.34;10.045442;1.65686;25.097145000000001;1.3008299999999999;65.624077;858.58832940460911;0.037151926191940202;7.894199652312861;0.016245125558278544;35.625256396732595;US;NA
6964080;68.233.77.233;95.529619499999995;95.439715000000007;122.79133250000001;95.1102925;148.21634950000001;264.58745442976078;11.50580025988312;28.394953062840795;10.6490419590681;360.62151803295183;US;NA
6963796;82.165.230.17;24.805637000000001;23.86842;37.160615;16.504148000000001;122.16885600000001;7204.1690440417824;0.053487277991272605;7.3938670081002869;190.90743852245598;2694.4284782010859;DE;EU
6964160;92.122.19.40;9.4533140000000007;8.3698599999999992;19.441120000000002;9.0811299999999999;129.14844199999999;1053.358210864222;0.70906640665397791;6.4723188330556578;0.63731951685231591;28117.048663833873;GB;EU
6964290;165.254.226.65;157.60054400000001;158.70241999999999;178.50374500000001;168.71656200000001;176.441124;1.8110549490545835;0.088901889977079165;6.4199736221978378;46.709977661145849;1363.0305872360668;US;NA
6964100;104.20.69.204;2.1408;1.8050675;36.149462499999998;1.0309455000000001;64.397197000000006;6.6351909953567043;1.8487487517152004;9.7575129719874365;2.6831758348748003;1575.0924229675898;US;NA
6964170;204.155.149.139;110.978326;111.800465;142.66050000000001;129.32906500000001;161.38217700000001;3.6760965728632558;0.87614032777757289;8.5062032647411456;0.3515279773673437;1139.0513225656443;US;NA
6964190;202.102.90.109;408.82030600000002;434.78500500000001;428.09838000000002;355.02909299999999;454.13922700000001;4943.2434243061698;5283.6006153246426;7811.3901998639176;3219.9929112018167;12527.99818577967;CN;AS
6964248;104.28.27.209;6.3237135000000002;2.3574250000000001;35.80142;1.2848204999999999;64.239372500000002;19.959569568577592;17.934104451643581;11.455471031854042;26.259908430137664;85.361689130866935;US;NA
6963917;91.211.75.193;18.620932;16.321940000000001;28.440580000000001;13.706697999999999;151.905822;1152.0121780607549;0.011994052522873673;7.8158206775303176;0.033961788551089708;2969.1247663026397;NL;EU
6963667;54.222.60.218;370.619978;329.13162999999997;384.68649499999998;393.715755;404.64929799999999;1509.663919007824;1657.9873799180421;1475.758731310128;2929.3120676765197;9369.1700411776219;CN;AS
6964314;104.20.66.152;3.561985;1.9375550000000001;36.11262;1.0630364999999999;77.027343500000001;19.004688878642341;1.7425523436279091;11.30910529869983;2.4643463785786723;1015.7542095017416;US;NA
6964411;81.171.123.200;22.010500499999999;17.459534999999999;37.023367499999999;20.667152000000002;149.16559799999999;11.190867053150983;0.038296866197723663;7.3179233244556654;0.69405734617059445;8664.9584784089348;NL;EU
6964435;104.20.43.155;4.6909450000000001;1.7858000000000001;36.367294999999999;1.0944590000000001;66.060300999999995;820.27252645346255;1.5952377841891872;11.845083481337028;2.3174069781085453;13.838228544932926;US;NA
6964326;91.195.49.131;12.7772185;9.6684175000000003;30.655304999999998;10.658858500000001;164.64809750000001;4.3217387570545851;0.017364038302797986;7.3963634944635137;18.533073076145872;20383.398552264374;DE;EU
6963901;104.25.24.99;3.5182090000000001;1.9432499999999999;36.228205000000003;1.064109;73.740302999999997;7.6311198962536437;1.7890838038611807;10.596946100181635;2.4429410414175181;1366.4704802442507;US;NA
6963762;104.20.29.48;1.7022724999999999;1.6770149999999999;35.578559999999996;1.0092194999999999;64.230156999999991;2.6449720630140008;1.9354295651113131;9.1554903263643794;2.5662996984815742;87.31858082511323;US;NA
6964142;193.51.224.8;2.3808009999999999;0.88983999999999996;8.4694900000000004;7.1718529999999996;58.255116999999998;3.7141739964474745;0.00866200208057674;7.1757670922001759;0.0076514712989545226;979.80569766961844;FR;EU
6964102;104.20.1.139;1.6216330000000001;1.671675;35.782420000000002;0.97028650000000005;64.182157000000004;2.4376283400330698;1.803523462518962;9.315715279673185;2.43768668362407;1860.7458663190528;US;NA
