mesurement id;Destination;mean(avg RTT) from Gandi;mean(avg RTT) from mPlane;mean(avg RTT) from LISP-Lab;mean(avg RTT) from FranceIX;mean(avg RTT) from LIP6;variance from Gandi;variance from mPlane;variance from LISP-Lab;variance from FranceIX;variance from LIP6;Country;Continent
6964280;5.79.69.118;39.595326369383997;17.039465324690521;29.062047696295259;14.997230859258815;127.14159841258935;9.9650159693823284;1.8443629902818577;25.707163121827556;99.11964528383163;643348.76284348697;NL;EU
6963713;42.156.162.55;404.33634404303581;389.17217915297459;370.04387474377467;301.24919054477613;349.2531864186746;10714.913465220206;4991.8599007057546;2808.4160913899018;502.19247763913228;2510.2469731107271;CN;AS
6963655;223.223.182.210;335.65454591705196;353.37561082415277;274.18624723885353;419.59129745773538;341.63491202099846;720.60265816737513;1622.0520731994852;1041.8252344544951;2507.8689279715281;25219.252481317559;CN;AS
6964214;172.217.16.68;21.517107797317422;2.2080051647125627;21.371746351200841;1.929023707426633;265.09160900340635;8044.0458832761378;0.25502249402360105;22.758060123183512;5.2025693357346565;1299381.8658304228;US;NA
6963583;111.206.227.118;487.78780133747051;353.62097597178729;383.37965467521582;401.25881464751399;492.08519524041304;79714.455922883601;1706.0510891958556;1858.1309077249766;2209.6169807140222;3788.154032064826;CN;AS
6964034;121.14.241.75;453.39868180511075;390.58344457015187;359.96809619858703;304.94219550183072;373.40532218878008;136333.2347387996;2524.1894837334735;3825.6795828853178;164.24911057457692;358405.19809960912;CN;AS
6963772;104.20.93.127;8.4310561736866578;2.2900254096452244;37.099189536516434;1.5916534709747192;98.412751113992556;404.52138444718452;3.8240567646496633;26.199148078885813;13.262773787836744;4287.4604548798861;US;NA
6964238;120.134.33.10;303.10352141176338;329.51636915963377;312.10142501877471;316.88945016572956;377.19997944978309;294.08170490037531;12.611970352348116;629.78329990351779;254.02260728300152;1452.8863964353286;CN;AS
6964204;151.101.129.34;29.683557100708562;1.9606884491113086;26.477362259020516;1.4286825640810985;69.435657337908722;8176.0598887206179;2.2354579410299067;18.119253352423421;0.079136780665721301;585.87093328464107;US;NA
6964080;68.233.77.233;110.68973040952839;95.942661569390836;125.79951255834241;96.64474538651109;210.71292040116927;3825.8187013317229;17.095839134465987;48.225604012508725;40.320395178364436;954748.51052841521;US;NA
6963796;82.165.230.17;81.878634037382639;24.077475679359946;38.780509893040197;18.643060267044145;162.45515973199295;49953.689517752144;0.41309246484339407;118.04527811858547;499.06709950547031;13699.919532264952;DE;EU
6964160;92.122.19.40;31.226459881613952;8.7380858738547573;21.099353967582239;9.363459477097253;199.27847045279492;9867.2063469220921;1.2538201000473683;22.760399439955506;2.3674376975013036;80648.167978807338;GB;EU
6964290;165.254.226.65;159.63566740038121;158.86133409922715;179.84613652305745;164.79472751351696;192.22786970674153;212.82864277321644;0.41215032088117587;14.129501904336783;58.031921999920094;3881.275218703744;US;NA
6964100;104.20.69.204;6.0438332528184615;2.3329463589746151;37.478158761538459;1.4671993928210771;119.42057410922662;59.998199664150107;2.9030165489449336;27.478605574811379;2.8632912846888474;9874.187208570087;US;NA
6964170;204.155.149.139;114.13619035953543;112.38260298772965;144.02623087928873;131.94406043041994;218.08283694095272;167.17733655041664;2.7146597342191474;15.366531778570426;656.42584495352992;331473.80522834457;US;NA
6964190;202.102.90.109;419.67224522653294;445.45457738197302;446.70662434374196;369.95489443959195;497.15911879396958;4811.8325464100481;5180.1147693156008;8124.748563309181;3204.4454740140254;28853.901818963455;CN;AS
6964248;104.28.27.209;7.7506959162544113;6.1529967197725499;36.611105412579413;6.3530536601328427;84.185697338237745;28.10415460671101;17.402000196258378;16.336773481748068;35.296725804801348;91913.057446369334;US;NA
6963917;91.211.75.193;22.724684164537599;16.470750332479795;29.695668589087212;13.867113666665727;236.38843740110488;1654.7824544075922;0.12212610982484093;10.895378385253364;0.10483359390925054;973899.93302289059;NL;EU
6963667;54.222.60.218;372.91563295211211;328.05430177546697;388.3334911239063;404.64414322221654;417.7033262383502;1721.8144113955752;1689.1416461985089;1805.5548135268848;2946.1168680086403;10674.273623815239;CN;AS
6964314;104.20.66.152;14.328939264980479;2.4797293656352526;37.523753054776826;1.4388453562738763;133.4043180126757;2368.7967549456121;6.895983317944089;105.68423906216248;2.5385817563118422;499368.19136720948;US;NA
6964411;81.171.123.200;26.526353960781652;17.681460871848319;38.541031542948183;20.977729476658688;169.85242180024508;416.78110318392277;0.57613658601150652;45.350147444552547;11.838184948773041;150606.10940391352;NL;EU
6964435;104.20.43.155;20.66087379616059;2.2403000397368866;37.344346999766898;1.4921860322590463;74.334811160355542;6590.5185979212911;2.0860668077365911;28.273556996191871;2.4708157020441925;1665.0502931042477;US;NA
6964326;91.195.49.131;16.564440436041455;9.8491222432299725;32.060267079831377;12.588966259571569;200.978456768451;111.99882141306078;0.9774769563744059;21.050773703830558;23.314665130650045;417039.8960994113;DE;EU
6963901;104.25.24.99;7.0490258023905774;2.4171915658676513;37.609301887014489;1.5691626188479608;100.33775977472027;121.48208754577169;2.8460038126143337;73.119292390875827;8.785368826016116;6834.3636969227246;US;NA
6963762;104.20.29.48;3.3973688572346896;2.1861531201556201;36.648179163437391;1.5574198397934107;68.641188991277133;11.004614585503045;2.1387572198544418;18.869267695590377;9.3928815068413911;177.34204129649058;US;NA
6964142;193.51.224.8;3.8231297769047239;1.0398869685041996;9.6019628040225715;7.2982075441816283;211.90159920210371;25.509176616942234;0.14447902384383846;9.6544020456306878;0.043397999905351592;2497086.1605436322;FR;EU
