mesurement id;Destination;median(max RTT) from Gandi;median(max RTT) from mPlane;median(max RTT) from FranceIX;median(max RTT) from LISP-Lab;median(max RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964280;5.79.69.118;38.956806999999998;16.931315000000001;14.336650000000001;28.168810000000001;101.61947600000001;70.747535295997196;12.076796259376694;775.55492008996066;83.473501582146895;2505583.722671051;NL;EU
6963713;42.156.162.55;390.83911799999998;384.97450749999996;307.65893149999999;359.726135;342.42592450000001;37166.564307369001;5226.9534370092888;600.07622341821684;4254.4054105276973;2930.7525141883539;CN;AS
6963655;223.223.182.210;339.81011599999999;350.60770500000001;410.24735600000002;257.11952500000001;331.81139400000001;825.93893457335332;3808.5830939788225;2696.413489675203;2169.6016082030796;67124.465069439422;CN;AS
6964214;172.217.16.68;3.7186560000000002;2.0496799999999999;1.8604909999999999;20.163550000000001;102.037268;37877.041161729197;1.6825106106317758;46.441625689539336;138.61030433635449;4072434.0684710578;US;NA
6963583;111.206.227.118;442.73173700000001;348.12473;381.95103949999998;390.19626249999999;494.61590699999999;250935.34821807858;1953.0432578708155;2554.9201941415231;3721.4694210034845;4273.3015069052626;CN;AS
6964034;121.14.241.75;400.142672;419.64079750000002;310.37285199999997;384.72209499999997;340.54931599999998;383394.07751671073;2581.9336047043812;246.50320926238382;4810.2889526264044;1927028.7086569006;CN;AS
6963772;104.20.93.127;8.1189134999999997;2.0997124999999999;1.2690085;36.557382500000003;100.78274;2262.2807141182252;16.430775199513224;99.125170579379926;126.90776052431396;28799.549663364553;US;NA
6964238;120.134.33.10;301.820988;330.218705;319.58034400000003;299.43934999999999;369.924938;1812.8030792430857;43.821854578488228;348.38672369001245;649.1015320058259;7497.2990815542153;CN;AS
6964204;151.101.129.34;16.578052;1.8332999999999999;1.4820420000000001;25.850629999999999;67.902735000000007;29600.748126476377;18.720196682669453;0.56899871796939971;79.515818938515395;4765.7690447675577;US;NA
6964080;68.233.77.233;96.758803499999999;95.73219499999999;95.823381999999995;123.65607750000001;149.32495799999998;16595.934515767873;50.344167841673446;260.17014170956679;162.92491959753559;3470572.6950041796;US;NA
6963796;82.165.230.17;39.710216000000003;24.097560000000001;16.801290999999999;37.673250000000003;153.88803100000001;199742.17001385527;2.7566983963677081;1008.8975527931385;976.03053449473987;69170.178440009084;DE;EU
6964160;92.122.19.40;9.7497620000000005;8.51065;9.2785430000000009;19.814340000000001;130.25359399999999;42881.726517723881;4.4580403856452193;16.159079438383856;127.86603693762667;191104.55539408739;GB;EU
6964290;165.254.226.65;157.86320000000001;158.81384499999999;168.91028800000001;178.89191;177.24905999999999;1783.5571094964318;2.9941101646942494;188.21874778777908;47.81768224026149;21112.361827946672;US;NA
6964100;104.20.69.204;5.6778255;2.15171;1.2194155;36.893079999999998;77.10529600000001;442.35126772887003;10.191284620949398;3.8584834000143817;151.08622546718172;35685.417670417133;US;NA
6964170;204.155.149.139;111.196438;111.91314;129.51774700000001;142.971225;162.21852799999999;1382.4123169399049;14.319628900843041;2499.0284484291856;45.826393874313837;1296826.3912511428;US;NA
6964190;202.102.90.109;438.53039100000001;443.26894499999997;363.97869400000002;440.14463999999998;495.35011500000002;4945.3230137884739;5377.4513979437343;3563.1264670165883;10666.329352238701;68757.635439938924;CN;AS
6964248;104.28.27.209;10.5761305;10.0747275;2.5791025000000003;36.092807500000006;64.657933;88.37542264517684;18.31115392708465;94.309604740736816;42.846354228663351;320072.70395108638;US;NA
6963917;91.211.75.193;19.055620000000001;16.422045000000001;13.942598;28.770959999999999;153.38038299999999;2842.08010694533;0.79523951057796649;0.73420600627598176;19.03655412823354;4006581.7580018668;NL;EU
6963667;54.222.60.218;380.01492400000001;334.47109999999998;402.80005499999999;396.33251999999999;422.58670899999998;2985.4343322148861;1784.2742134712694;3140.2602730450049;3908.4051356104428;21776.844301746441;CN;AS
6964314;104.20.66.152;7.3416980000000001;2.2116949999999997;1.2609364999999999;36.575145000000006;122.39080849999999;15274.624996844643;47.636522842799756;2.9461094309578004;827.97955103068671;3369333.7602227717;US;NA
6964411;81.171.123.200;26.845829000000002;17.664772499999998;20.929510999999998;37.462530000000001;151.085982;1308.5480790150359;4.6262378580397305;100.14127650317468;330.47367991275695;533120.82822928159;NL;EU
6964435;104.20.43.155;10.49165;2.0242200000000001;1.3029740000000001;36.841825;69.624589999999998;33315.178390498389;5.6225850861266284;3.5438878515748997;139.43918162895952;14226.149188962796;US;NA
6964326;91.195.49.131;16.841092;9.8239000000000001;11.186693;31.21603;172.96054700000002;744.29127908904672;8.5534786814450108;60.152844301236968;108.07944751249401;2088767.4615793081;DE;EU
6963901;104.25.24.99;7.1255050000000004;2.2030599999999998;1.2658210000000001;36.685994999999998;98.645011999999994;912.95204672712975;10.605553951740095;50.406791703015401;515.57993261651973;35009.031990975927;US;NA
6963762;104.20.29.48;2.4990730000000001;1.9908275;1.2152054999999999;35.881810000000002;64.743180999999993;66.683036785377041;4.0779415668684242;64.478547251904573;71.662459317137206;370.84890026675527;US;NA
6964142;193.51.224.8;2.6611210000000001;0.98636000000000001;7.3454360000000003;8.8853550000000006;58.803468000000002;163.19410275133868;1.1769132688873294;0.31376902369986626;14.570205984794011;12520274.260201802;FR;EU
6964102;104.20.1.139;1.8324484999999999;1.9194675000000001;1.1470009999999999;36.061322500000003;64.696717000000007;119.3648111549505;3.9550633573218996;3.4946801466372959;51.744241019691295;2713051.2317654812;US;NA
