mesurement id;Destination;mean(min RTT) from Gandi;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;mean(min RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964242;194.158.2.5;30.274042129824565;1.5414397280701755;22.277236266666666;19.546939815789475;104.48374781052632;1192.2375350197615;0.11427944537865413;0.10136317588180256;5.9026062261359753;387055.8263615013;CH;EU
6963854;213.180.141.140;40.156547779020975;38.370623748251745;37.928918773426574;51.942667503496502;181.72197303216782;6.9651627019727149;12.677937129903224;6.4207888669411055;9.7104015052562502;36.648933130501376;PL;EU
6963743;151.101.65.69;9.9804274802110822;1.5964033377308708;1.3315215593667544;24.96636583113456;66.325960562005278;0.52599584285790668;0.16097144013984899;0.013180412274531433;7.2254602177922536;389.07849417860871;US;NA
6963657;104.20.77.29;6.4719607919847331;2.1187860973282442;1.239054322519084;36.420952166030538;81.564045087786269;244.46688315004647;1.8412257741705995;2.5399988875950239;11.207905474393925;66705.651710561826;US;NA
6963663;120.24.248.50;454.37823112350594;424.88721057768925;308.23444672111555;377.36833619521911;412.80865771115543;1677.3911118262718;4005.0317429392298;202.26657847428712;2519.8582393232978;66972.444186822075;CN;AS
6964104;104.19.142.70;8.5778643044619418;6.5167797506561671;6.7989375721784766;35.695905761154854;65.425957496062992;395.15621883636663;16.930707687141865;25.928030739491309;9.406879071339711;37.844986607505469;US;NA
6963800;104.70.242.123;12.062675155462184;9.1950750630252109;8.9609032661064418;50.907861666666655;164.60975944397759;6.5504961781808291;0.047734891167608075;0.17110058494431571;14.857217950939237;27158.972726800079;US;NA
6964316;138.101.8.100;245.85899763880596;218.09272037313428;253.74703786268651;256.43365480597015;257.56542889552242;1.1764689718687951;8.1890279585476975;2.8189921987547923;6.8872819712782452;2304.2067872085786;JP;AS
6963960;74.115.50.109;142.06937803792133;143.28741994382023;145.0473240477528;174.57737534410111;193.47517154353932;31.093149886814668;1.4409177232214154;5.0846198647996479;7.9673254906413478;2228.5641920962412;US;NA
6964140;149.154.167.99;32.130343400000001;16.377998246478874;11.71060193943662;27.591051774647891;155.60143058028169;88.488488674342065;10.217911491555833;0.016135482850496336;6.5028844220507223;38.237762142354576;GB;EU
6964288;104.16.29.30;8.8379002480620166;6.6922049321705428;6.8777454651162788;35.926362596899232;66.832661009689915;51.595656736515316;17.337341527311089;25.692780004852356;10.48675764067136;81.870085748879973;US;NA
6963749;104.156.81.217;13.185766928969358;1.6646577646239555;1.4504746142061282;25.415988586350974;76.100469034818943;200.10529340025121;0.010855582250051839;0.030024897193841407;7.690025072520112;63910.47015707536;US;NA
6964328;42.121.252.58;360.9470561606218;391.77437487046632;340.92333624870463;342.99833296632124;368.41652617616575;2332.5972997620274;3226.7541025826276;3112.3256475380831;2276.0265314353901;1318.3205743376773;CN;AS
6964116;178.33.165.129;6.6569566410256416;4.7691651794871799;4.6676160179487178;25.854244064102563;157.17114504102565;127.16756225153939;0.016342173215224198;0.0080426931758022409;7.3201956438717541;94.478838307595723;ES;EU
6963852;184.51.148.152;20.491780198855505;1.5892614520743922;1.7280048655221742;12.453117718168812;122.12786461516453;5803.0254740725322;0.041135140242061718;0.0071275594321221162;6.9727983744607798;2287.7972678954097;NL;EU
6964128;104.16.32.27;6.9898033557951491;6.6417584636118594;6.8449392075471707;35.71040142857143;65.775211911051215;19.803021252781008;17.995055450760308;25.881519825745411;10.672825673584345;81.649705606333342;US;NA
6964234;5.135.203.40;16.793253220306514;10.920626877394637;10.818885750957856;25.662664952107281;180.45927227969349;161.2899499043551;39.35843419746228;13.287257949119672;6.4334400219915215;79333.048136699086;FR;EU
6963661;219.85.79.131;259.31625740173411;276.7210455346821;285.33995303468208;296.42103513728318;315.22973175144506;1026.8796957739846;225.76355537843412;20.412547305997457;40.461812618980375;3539.8514617412525;TW;AS
6964152;23.248.160.250;265.2193017816092;279.67260394252872;282.42212384137929;300.41159345977007;289.57765358620691;103.51395161023814;122.57924978926084;78.15848355295428;116.99573278844152;589.14355364918868;US;NA
6964415;209.104.56.26;84.044161316455686;78.692311061884666;79.06204442475385;94.062389915611817;150.60378685372714;36.200650098286751;0.3939173179169807;1.171322705683046;7.1130737681134955;5346.4865229969664;US;NA
6964304;222.158.213.148;253.58207764984226;243.86005626182967;272.13771808990538;309.60824727917981;287.58192770662464;480.6021234312559;7.4240345163578709;35.68560018644262;4.7541882167827758;445.70322339052876;JP;AS
6964457;104.156.81.70;9.7907727380952387;1.644757671957672;1.2752855396825398;24.963158134920636;65.846821735449737;0.0476782706610187;0.015199649256220429;0.013494660655253718;6.4144641447922224;186.97177238041735;US;NA
6963834;123.103.57.11;397.21680560542171;337.76233111445782;383.64593829819279;267.27014237951812;361.4669188509036;2893.9080965414928;3775.3056779903686;2460.5852876226286;824.91189336714126;5579.5799138017155;CN;AS
6964306;95.142.199.215;56.207813753155676;50.838460014025237;49.842441028050494;82.873593464235626;187.65058115147266;398.09482442152813;0.16270831669957889;15.624859832805404;14.548535169080004;54.815728113020739;RU;EU
6963931;59.151.116.98;276.39068843380278;319.36221560563376;311.91956848732394;299.27001339436623;347.29267454366197;66.389459704160004;98.001942750435816;411.91158524605163;393.65183206418351;841.53633228959995;CN;AS
6964082;213.92.16.101;37.777101686274506;34.481670385154061;41.665055347338942;38.571519250700277;193.13402078571428;2215.6866967757583;0.031376127722925862;0.96396906661751225;6.7916201681030435;804.60461639328514;IT;EU
6963798;193.252.148.140;21.057215526610644;14.419798683473392;14.024620585434176;16.642223837535013;144.89977560504201;143.29330794174149;0.032057682901628103;0.02246155145317268;7.2096223872125842;55.307176371340702;FR;EU
6964178;91.216.63.240;27.416960532219573;17.124639140811457;31.049692937947491;50.537794033412894;177.35640560381864;262.54102174065974;0.026526267828140101;0.030533995456821918;14.504523657645308;98.814821135462481;ES;EU
6963697;93.184.220.127;6.3688321425389747;1.3838277616926504;2.0395630779510023;23.156269164810691;79.896833298440981;1125.3131832393005;0.4091150159152015;6.2125798999973645;7.3557848901293141;4705.1447470117964;US;NA
6963681;42.236.9.70;398.74073730726263;384.61941932960889;377.28284086033528;399.22467265363139;427.05847110893853;3203.2416932333999;2497.7202248726317;2866.6967309623601;628.98403559822873;37777.465549609005;CN;AS
