mesurement id;Destination;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab
5277086;74.112.185.90;162.84328839762611;144.90663591394659;167.19489646884273;0.077855754720874373;1.2103458607936164;29.651606950458902
5277168;67.196.156.65;91.536793466076702;88.012099982300882;114.8583452359882;5.5410765843621022;0.39099431248258931;18.468174616154517
5277327;140.205.170.62;380.61106510869564;368.69268527018636;365.4801345031056;2402.2071152113467;2947.9337506422885;402.14316340047225
5276870;119.28.48.239;273.48262969604866;214.08394524620061;228.08436033434654;24.60702290678411;38.811629235699691;63.618674795227996
5277315;103.10.4.216;257.15924866153847;331.73491525538464;303.51217656923075;87.364034321210013;1427.9928789664875;915.1867804923188
5276988;104.16.11.250;1.9117258409785933;1.0847861009174311;24.440988669724771;0.13160860535946095;0.016118381139778808;10.159767297264514
5277449;37.58.17.122;59.238503654434254;60.219693837920481;65.760119969418952;13.266833846364245;31.905893796654382;30.406118225194039
5277376;210.139.248.1;235.065531460177;232.62121016814163;248.25786789085544;1.1823741545758177;58.571450233887319;106.29800131771009
5276996;23.206.36.133;1.5936095592705168;1.1429393890577508;16.117669711246201;0.062699520849729753;0.019303692444024929;70.300931436910773
5276592;172.217.19.131;1.9520192791411044;1.2018599693251535;26.207801303680981;0.33113930043575335;0.0051408153252199178;39.421215162828894
5277062;104.31.72.239;1.9581064306784661;1.089544412979351;24.079057153392334;0.10774885172870537;0.011351647055569862;9.2714216488555383
5277421;104.24.10.2;1.8732929941002952;1.0714841032448377;23.978152448377582;0.19366145521470796;0.010142454615797599;10.113050672217454
5276586;192.150.16.117;121.41348809734514;119.86704767551622;135.92987834808258;0.10535556430589291;2.7707765592522073;12.946966676333698
5276980;148.251.77.209;24.622763097345135;21.968711312684366;29.399901017699115;19.008292432524335;0.065504297126014341;12.575080756761869
5276810;184.51.148.152;1.5639908435582823;1.8904234570552148;30.443997484662574;0.03369052918356754;0.65594059206662236;58.872762592528026
5277016;61.129.65.103;377.78034810606061;297.03783529393939;319.91672739393942;502.59085921115172;1073.5351402316076;2935.0773887650626
5277139;2.19.231.10;1.6810435276073619;1.7465050521472392;18.130423420245396;0.036019493598445557;0.0698976526258899;13.680079782853715
5276753;82.165.230.17;8.743401905487806;8.6517842713414623;24.636957027439024;0.26491514768836605;0.028902662863142834;10.322760920215174
5276950;137.254.120.50;116.70743957055214;157.53015821779138;138.14885273006135;0.030792301784017911;183.7563217421189;107.94224621717676
5277197;120.134.33.10;338.16532604790422;298.85006390419164;323.33911040419167;256.86369313424291;354.72624817024297;244.62688792879251
5277129;23.200.86.121;1.5307926253687314;1.7462226666666665;15.779128141592919;0.054258800061249023;0.013228218852428713;10.881777480898757
5276916;74.115.50.109;154.40650809815952;148.5148819570552;179.97713895705522;8.9444321950617223;27.783904064523878;31.67339343284323
5277084;104.16.32.27;1.967872599388379;1.0827513761467888;24.351340152905198;0.095229071297983234;0.017196174838032829;10.585722021542484
5276479;140.205.94.193;402.22724970125785;354.93214445283019;387.15182985849054;2491.6958530349161;2336.195135023906;335.4728336734558
5276940;144.160.155.43;151.60903266961654;157.57788033038346;171.40194243362831;11.302621291235424;11.618855765565002;65.470358306671571
5276469;172.217.19.131;1.9307523312883434;1.2431972546012271;25.763471334355827;0.023530492842417854;0.011309189323981192;9.1686650713398592
5276638;42.236.9.70;388.42013106481477;401.11575414814808;416.78173013888886;3354.3590366443173;1538.9826188521911;1513.5844049169305
5276646;192.147.0.123;79.083175589970494;74.670883693215345;99.176080294985255;31.445900658795228;0.10927609781139289;19.304589955941207
5276924;216.34.181.60;99.779066224188796;109.38894591740413;121.10072617994101;88.306956489904778;15.650861951420142;53.460215063094488
5276442;108.174.10.10;78.731840678466085;89.129889943952804;98.155766061946906;0.11136788792579344;27.933637809930893;12.236369983446217
5276418;69.171.230.68;158.51616155786351;135.91550158456974;158.73994600890208;1.9306659282983909;5.2803396818769093;19.824977451778508
5276624;54.222.60.218;294.78014779141103;371.57766492944785;389.45678567484657;194.32206273942705;2332.6098666072994;327.11106401876066
5277147;202.102.90.109;348.1915112724551;316.96548984431138;320.94915453592819;1932.0771458509289;678.81157545020972;1453.9678346372368
5277164;69.196.244.99;79.513611224188793;80.279609908554562;98.603316799410024;0.090591598576008903;0.54985200038869642;11.498152658053694
5277080;46.245.163.1;58.768944940828398;64.114299775147941;68.157071183431952;82.786916791136534;4.7088326526495301;43.717675422800369
5277193;5.135.203.40;11.276042418879056;10.952651587020648;27.812168687315634;0.30404848125108125;0.07403501319833089;42.271351497618248
5276549;106.120.151.169;293.93155012048197;274.38707425000001;277.79051984939758;178.19433449047;448.01421533890385;505.70859792959089
5277467;92.62.130.180;50.848731307692319;46.760902344615381;76.03877238461537;22.057216566094063;0.31412742706917357;17.563223816211622
5277281;210.189.86.12;236.95212384955749;233.0113463539823;272.61974517699116;48.821373101237462;34.614941554793454;29.677377782181225
5277145;52.197.170.122;259.61787202453985;253.98675632515338;291.08035274539878;6.3535550969679928;8.8538971458972462;182.31686579867784
5276918;104.156.81.84;8.7006711314984724;10.723840269113149;23.595070412844038;0.043353665340157034;0.9405951681274809;10.587472637243026
5276662;104.94.192.167;1.9186954740061162;1.1483461804281345;35.004624220183487;0.1587541805441943;0.0047105483590224899;24.623798918865678
5276652;104.16.56.23;2.0059714454277286;1.0911756637168142;24.143529616519174;0.083426329563249968;0.010926344522341192;17.01061455339558
5277243;216.58.211.105;1.9296770030581039;1.7435412844036697;26.028771422018348;0.12944995794377065;0.016200424935977221;39.957420904927865
5277255;220.243.193.127;9.034503510324484;9.2252308082595871;23.303339292035396;0.052290386240037505;0.039998784590213984;9.7044403793919791
5276723;172.217.19.131;1.8996285474006116;1.2633632782874618;25.894619480122323;0.10552209480469421;0.010986513854806347;11.846533261818996
5276806;103.25.22.168;310.70899871559629;355.83707982874614;282.12123180428136;1426.7768119842615;1018.300015446983;364.45477830412977
5276632;96.43.149.26;78.84680803353659;91.47439824085366;98.204207439024401;0.025144732942550724;10.106717590520597;12.844874663521795
5276814;74.125.71.160;6.6116389675516221;6.2590561504424773;26.971677699115045;0.12143590993654467;0.030396729572180915;10.251456634485267
5276759;54.230.197.162;11.707001430678467;13.159603592920353;32.773090855457227;0.34400525365717149;0.018215041829244313;11.064520371067113
