mesurement id;Destination;median(avg RTT) from mPlane;median(avg RTT) from FranceIX;median(avg RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5276771;194.132.198.165;9.8127399999999998;13.585651;25.956231666699999;3.1065409783005649;1.8721133548235231;29.87193983969572;JP;AS
5276769;104.20.24.135;1.9861783333;1.2164204999999999;23.923043333300001;0.40188701825332152;174.31667155815265;44.152272501955935;US;NA
5277295;77.88.55.55;39.406278333300001;41.056326333299999;61.155048333300002;12.428937017876143;24.955780957380163;27.068792480882419;RU;EU
5276493;151.101.60.193;10.068065000000001;9.1621389999999998;37.064568333300002;0.23692880285192364;8.5168264821232444;33.157836806834631;US;NA
5276422;98.139.183.24;84.1453733333;109.464399;115.2198766667;284.71053298511669;50.894707285461152;405.94039216440615;US;NA
5277415;69.89.74.80;171.76922999999999;140.0371243333;177.48095499999999;16.328236054101318;135.54006304361798;62.80704485518045;US;NA
5277267;104.24.4.33;1.9311983333;1.120077;23.927851666700001;0.51054753836723232;1.3348140585249793;70.033284681990835;US;NA
5276968;119.147.114.19;321.3390116667;287.92783400000002;281.93795999999998;1384.6877959063077;517.89123600722348;1994.9043928476688;CN;AS
5277287;42.121.252.58;410.45829333329999;370.85408200000001;332.01089666669998;313.81129624374711;2118.8732070377032;163.29883453872185;CN;AS
5276998;104.16.65.178;2.0449766666999998;1.2066813332999999;23.1542033333;0.43074590482678815;0.060770167777791012;18.644528521790907;US;NA
5276489;192.0.78.17;13.811227500000001;11.4687598333;22.82797833335;0.28775368695499964;8.7892732582924733;38.430039048504476;US;NA
5277384;192.0.78.24;16.535676666699999;11.412798;22.049263333300001;2.6065005391962965;8.7529043991034143;13.466267380458024;US;NA
5276794;104.16.52.162;2.0228933332999999;1.1254453333000001;23.868306666700001;0.43798986911269283;0.045120798690007367;77.48551233524492;US;NA
5277199;151.101.65.52;8.4421266667000001;11.344649;23.1761266667;0.84233227298264601;1.3382809747537616;15.636825065322407;US;NA
5277337;104.197.47.161;103.9201783333;102.8232236667;126.65783833330001;23.537643355211515;50.816549581700166;283.1853134751621;US;NA
5277113;104.20.55.43;2.1177883333;1.1840113333;23.940823333299999;0.67751570002363348;0.073337830011854344;21.54939286609396;US;NA
5277423;104.20.43.155;2.0581916667;1.173845;23.988118333300001;8.4113324591655978;3.7884309648485708;47.08352989342918;US;NA
5276610;106.120.188.48;334.02881333329998;288.73246666670002;253.9756933333;225.43614661465375;523.68700533204583;1201.0302682821418;CN;AS
5276838;62.153.159.92;14.5486775;15.610738166699999;28.292637499999998;0.80180826375941239;8.2299719423845499;21.225611601401173;DE;EU
5277455;192.16.31.23;80.180130000000005;79.578495666699993;110.0717716667;3.2139833235986379;233.78459239511525;46.855266760961499;US;NA
5276656;172.217.19.131;2.0451966666999999;1.3712333333;25.580954999999999;0.36363685285345987;0.6989161411233048;47.202883914620053;US;NA
5277303;172.217.19.131;2.006195;1.359332;25.454536666700001;0.53409791051079891;0.067904967546433256;20.191034467016113;US;NA
5277297;209.15.209.70;99.989042500000011;114.72121283334999;124.03705166665;11.691049887254843;43.871375270535339;265.2037836428035;CA;NA
5276584;193.51.224.177;1.5157666667;7.9581056666999999;15.11753;1.3620583523072778;0.987254506161658;22.693414185177609;FR;EU
5277380;203.66.53.8;269.13995333330001;290.77985933330001;293.679215;8.8368916382000755;83.230653047376819;136.44923424040175;TW;AS
5277176;68.71.222.16;141.36102833334999;152.30587516669999;160.66215416665;9.0730210174343195;8.7455914222638444;335.27892630431211;US;NA
5276727;69.147.76.173;84.124318333299996;101.4596303333;110.68850999999999;23.667651624229634;95.456123282971305;28.160451785479726;US;NA
5276606;125.6.149.67;246.98109500000001;272.0798486667;276.3146033333;4.4087512230941712;19.193108005462321;110.60375039029365;JP;AS
5277360;140.205.170.62;354.11582166670001;396.65235433330002;369.96329833329997;2358.9044895558768;2648.62638131021;726.98392939507119;CN;AS
5277162;151.101.129.34;8.8264600000000009;11.4770663333;23.613330000000001;13.775653057685313;1.1244370010997891;24.896013804415769;US;NA
5276826;91.198.174.192;11.4665483333;14.1574466667;32.680408333300001;2.1680099968211608;0.21176801800832509;18.108205052354087;NL;EU
5276439;183.79.135.206;274.59042166670002;257.49721199999999;288.46479333330001;111.97524719560711;15.284376439834395;145.02129366435454;JP;AS
5276749;172.217.20.41;2.0001733332999998;1.568865;25.27449;1.6146292749842033;1.2827822937806042;370.16248495572233;US;NA
5276784;151.101.32.68;80.087287500000002;78.956763499999994;108.43741416669999;46.234615795625231;9.0027112213420448;436.05864656236992;US;NA
5277275;138.101.8.100;202.6452075;243.25844900000001;285.79265583335001;25.434005884213036;35.643538600382193;63.816778798898589;JP;AS
5276994;104.20.75.106;1.96529166665;1.1081776666500001;23.3620825;0.17003125107597314;0.09308316045836465;22.075182791641982;US;NA
5276878;104.16.108.24;2.0233266667000001;1.1953739999999999;24.130116666700001;0.42137660582317538;0.096996357904705247;53.176668390760604;US;NA
5277475;23.3.152.175;1.841385;2.2144163333;34.739463333300002;3.3694913207025299;0.19876239759874093;371.35377787279941;NL;EU
5276634;172.217.19.131;2.0494016667000001;1.3861175000000001;24.881136666650001;0.21747819345187785;0.15673033628276387;12.393160433870785;US;NA
5276739;172.217.19.131;2.0145041666500001;1.371783;25.348038333350001;97.494973925554802;0.18547370152516604;363.81034251770257;US;NA
5277245;74.125.71.94;6.6677916666500003;6.3744178333499999;26.788834166649998;5.8878461124275185;3.539613758920773;13.694444693998312;US;NA
