mesurement id;Destination;mean(avg RTT) from mPlane;mean(avg RTT) from FranceIX;mean(avg RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab
5276715;172.217.19.131;2.0238141969721211;1.394635679798788;27.231115671716974;0.48173762545389592;0.066907720988445468;29.471276371561594
5277155;124.243.228.203;423.98835935353435;270.53400935908883;303.23553645959424;1109.3118518207791;499.98517619083447;1672.7897334886095
5277141;92.242.43.216;58.145020963619181;55.326642641102659;71.079884247788783;35.166795509298275;14.633298642374687;34.368494897717717
5277301;180.179.112.50;108.43578044739411;106.97510714749146;144.7808083579159;369.33242425859788;123.5820292461932;220.07702072887921
5276960;69.171.230.5;159.6156713372649;136.30329910226078;160.30660436086401;21.941610933749196;158.96645110494848;64.466761240744546
5277407;213.180.193.50;54.716252848484245;55.792008998989694;63.696734909090608;7.4413482383636165;14.956870195224452;24.578636467869536
5277370;65.97.58.16;91.324398040805022;80.205117818091452;107.52224228613392;67.789698631546841;23.997711431204053;108.67660900838074
5277002;213.180.193.105;54.459886034906184;56.229482729597052;63.420662925270513;16.367124946995567;130.55190372136315;87.458643989753909
5276697;172.217.19.131;2.0509412575760604;1.4515665767675756;26.986687383838788;2.5490505851841352;0.10147769423491547;125.32445544481847
5276946;184.51.148.169;1.700636651916519;2.0942492861359883;31.361542128808555;0.15966059819533465;1.0035036740462435;36.35004822177082
5277265;95.142.199.215;50.66775800885015;52.430970860374046;74.009290221240121;0.68373132164765904;12.482718484835081;214.32745693806407
5277429;54.165.95.219;79.335972431193895;80.738713175331796;108.93695416157003;1.4453617145999735;24.408127473772776;311.57567025968592
5277237;72.21.91.8;83.085523364008907;94.157455482105206;103.97616324131042;2.7077135406894088;23.848470696120344;380.77318441089579
5276703;107.22.178.157;79.76216205777115;80.938687387524851;107.10508600204695;7.8141520070063928;6.5168720850562831;227.2520569448009
5276936;207.241.224.2;175.59470066768654;145.50410877369848;178.76823133537522;35.669342431918267;36.011576536715765;41.122082579288339
5277279;140.205.230.48;389.89996336868575;365.01959883181843;387.8807290202015;2662.0598009102978;2437.4577059018702;780.69190374711684
5277109;23.248.160.250;267.51541047188641;279.51533351003951;285.90879838604548;228.43787870168092;199.25942707866795;432.05906392364886
5276424;91.198.174.192;12.72289711382134;14.075061015242987;33.386471969005179;14.779832363907035;0.29442756848513951;14.611400951434362
5276928;209.102.213.14;112.76515168195628;115.63825854841959;140.73285665137556;10.221022456192109;13.30083654508857;153.63994738742144
5276717;192.33.31.56;1.5875606410260357;1.8160620364887574;26.44954950690385;0.097339346585128453;4.2911450465254566;96.131460251583505
5276781;210.51.19.63;320.64196329154339;248.53637495329349;286.14257268928412;1192.4089705990084;1296.3178843884871;666.99624631756615
5276501;23.206.4.202;1.8583804228085545;1.5704246509348085;16.318362713864897;0.34559959418329683;0.38866214466110827;15.935152594543874
5277439;121.40.21.118;432.99717378787727;342.94745439091156;424.56623983333219;4669.6214332235722;6334.9044291758228;7289.4621804073367
5277227;46.224.3.195;137.08082915380615;138.25301886522502;153.01208100308764;204.66282042330744;1018.0423298092871;913.7654896501881
