mesurement id;Destination;median(max RTT) from mPlane;median(max RTT) from FranceIX;median(max RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5276771;194.132.198.165;9.8658549999999998;13.685473999999999;26.136415;6.0613054216717686;2.9822313174010633;90.957887506620381;JP;AS
5276769;104.20.24.135;2.1419299999999999;1.303804;24.1109525;2.2652587269289493;565.56773060706928;283.53820528363281;US;NA
5277295;77.88.55.55;39.433210000000003;41.168945000000001;61.300935000000003;19.181034253954326;219.83730898107518;80.78102076602741;RU;EU
5276493;151.101.60.193;10.123094999999999;9.2613380000000003;37.343299999999999;0.65142186962923909;76.722429872376523;123.46190784568002;US;NA
5276422;98.139.183.24;84.692890000000006;109.90952299999999;117.374875;2424.4366488389396;117.73382711309534;1886.4386022061749;US;NA
5277415;69.89.74.80;172.0772;140.25908100000001;177.85092499999999;37.563536055656357;238.83456661921107;92.952487565396638;US;NA
5277267;104.24.4.33;2.093645;1.189354;24.060739999999999;2.287521414153797;2.826726906852604;480.71777481853735;US;NA
5276968;119.147.114.19;322.54291000000001;289.26774699999999;282.341655;1814.1237257546625;646.09190695425173;3182.4560430034639;CN;AS
5277287;42.121.252.58;410.826505;379.05565899999999;333.29956499999997;386.12299100373713;2173.779641877089;338.96495148854927;CN;AS
5276998;104.16.65.178;2.1988300000000001;1.2977050000000001;23.279975;1.4587876771142327;0.42996449677519089;60.019397751666716;US;NA
5276489;192.0.78.17;13.858065;11.594747999999999;23.045167499999998;1.3509816644920623;78.807140887609805;209.24509772134985;US;NA
5277384;192.0.78.24;16.576135000000001;11.522987000000001;22.171575000000001;22.276776064138314;78.744893758977796;19.104073691530871;US;NA
5276794;104.16.52.162;2.1755300000000002;1.202218;24.093450000000001;2.5958030453014245;0.30693904684640644;579.70486425037529;US;NA
5277199;151.101.65.52;8.4877850000000006;11.423355000000001;23.301639999999999;6.3400266140218342;2.3052391891504667;24.05107863513636;US;NA
5277337;104.197.47.161;104.01063499999999;102.93296599999999;126.9601;79.491082126867383;155.82642558121407;2192.1086645932219;US;NA
5277113;104.20.55.43;2.2981950000000002;1.2917050000000001;24.114084999999999;3.9670145373988333;0.49368033350291407;84.560382553248587;US;NA
5277423;104.20.43.155;2.1983450000000002;1.2416670000000001;24.156759999999998;71.942472942730419;29.4048465404877;320.94409292773895;US;NA
5276610;106.120.188.48;334.63529;290.18218400000001;255.117885;270.7864967885568;534.03545534387217;3362.5347538641345;CN;AS
5276838;62.153.159.92;14.624385;15.732651000000001;28.4358775;0.96191902598707335;73.270775326966501;48.152702027019906;DE;EU
5277455;192.16.31.23;80.223335000000006;79.664471000000006;110.53962;27.331904382038768;1139.2781733677043;249.1378811375906;US;NA
5276656;172.217.19.131;2.0314450000000002;1.4901409999999999;25.531860000000002;3.0532900862985874;0.30832787416090968;48.014995739938655;US;NA
5277303;172.217.19.131;2.058675;1.4589780000000001;25.769580000000001;3.8250241534036609;0.44408050158205786;66.265285019633595;US;NA
5277297;209.15.209.70;100.06654499999999;114.83707849999999;124.21261749999999;81.370400460807929;172.89474563703141;1987.8751201935208;CA;NA
5276584;193.51.224.177;1.5902099999999999;8.0638249999999996;15.3285;8.0534768091612356;1.6892655034722375;92.382209173185771;FR;EU
5277380;203.66.53.8;269.22406000000001;290.93769700000001;293.86025999999998;15.811808590450211;211.46723122961643;145.84038560204527;TW;AS
5277176;68.71.222.16;141.3992125;152.43446700000001;160.895535;78.991907544840458;51.447099030874654;2886.458370703529;US;NA
5276727;69.147.76.173;84.59845;103.050048;111.09265000000001;166.58704260232622;406.72283866209693;90.530298985441149;US;NA
5276606;125.6.149.67;247.09393499999999;272.22183799999999;276.58356500000002;38.718246149684724;167.45114194958651;588.25835278953491;JP;AS
5277360;140.205.170.62;354.59079000000003;399.47288200000003;370.60316;2570.5251366955758;2964.361773501008;3417.5534715115782;CN;AS
5277162;151.101.129.34;8.8837250000000001;11.572355;23.726595;121.90391248067505;1.6389358978816602;121.58169863265041;US;NA
5276826;91.198.174.192;11.599565;14.268533;33.164095000000003;4.3666230808134481;0.90681995143229388;35.694388924515536;NL;EU
5276439;183.79.135.206;275.71679999999998;257.73917999999998;288.872905;141.82206654261023;81.433827117876191;1068.6794404680782;JP;AS
5276749;172.217.20.41;2.0488900000000001;1.6707689999999999;25.511955;3.4905905292738226;2.3130424796181086;3165.4800908616398;US;NA
5276784;151.101.32.68;80.144649999999999;79.100580500000007;108.60334750000001;102.16518713183548;75.464062767159277;3760.8989567957192;US;NA
5277275;138.101.8.100;202.7761725;243.43436300000002;286.53494999999998;107.67961256494418;268.55738459395934;257.22565354530894;JP;AS
5276994;104.20.75.106;2.0968724999999999;1.1785350000000001;23.5066475;0.70996328054545899;0.76313249674211359;79.336608784769282;US;NA
5276878;104.16.108.24;2.1617950000000001;1.289215;24.477869999999999;1.4970106358885333;0.74354974723234213;137.09600124858267;US;NA
5277475;23.3.152.175;1.8924799999999999;2.2976869999999998;34.866545000000002;21.99724208323796;1.5259588104317745;3045.0535742137204;NL;EU
5276634;172.217.19.131;2.0801924999999999;1.4784169999999999;25.004309999999997;0.98887401477474046;1.3091591211530131;19.017644716629835;US;NA
5276739;172.217.19.131;2.0493625;1.4659300000000002;25.538105000000002;875.93473379142802;1.5723795921451318;3118.3634316152015;US;NA
5277245;74.125.71.94;6.7127425000000001;6.4622810000000008;27.068200000000001;50.935064948201699;31.303322933983125;29.014126895811604;US;NA
