mesurement id;Destination;mean(avg RTT) from mPlane;mean(avg RTT) from FranceIX;mean(avg RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277700;2a00:1450:4007:805::2004;11.991422390872319;2.0454866011925592;19.360495426586009;0.56221177452923654;49.019964539785654;17.708906395145142;IE;EU
5277651;2400:cb00:2048:1::6814:5e79;1.9682407335341316;1.3004521027943114;9.7749663572856278;0.2388149275957451;0.16359771947570129;20.961811569703755;HK;AS
5277605;2a00:1450:4007:805::2003;12.316527753944376;2.1395653668644972;19.686875152857986;9.5371715135626172;105.83100295040167;19.661610423043669;IE;EU
5277569;2a00:1450:4007:805::2003;12.289358385415772;1.421919567460119;20.303119166665475;7.2689208363697997;0.045231760203880089;272.34734417312802;IE;EU
5277535;2a00:1450:4007:805::2003;12.227281760633829;1.4884622423320475;19.748828654798515;4.3339491861258459;1.2183592893678443;15.674717437737709;IE;EU
5277623;2400:cb00:2048:1::6814:18f7;2.1635813780138555;1.276595235945482;9.1569652560237955;0.49389477121537828;0.2641064808325484;12.484157445887014;HK;AS
5277690;2a00:1450:4007:805::2004;12.124793732429216;3.0207775200792168;19.808939191767472;5.948742866694313;351.08352562128675;16.72965973425973;IE;EU
5277550;2a00:1450:4007:805::2003;12.035194014924777;1.4100728636832836;19.27029326865761;0.25968007251542274;0.054021035919575959;4.9145064590537153;IE;EU
5277649;2a00:1450:4007:805::2003;12.057762567164776;2.7979229452764178;20.379043955221789;0.87656998484589921;405.68067682259453;105.68938411021213;IE;EU
5277521;2a00:1450:4007:805::2003;12.088996177050742;1.4224506350121664;19.495300801183976;0.84035766965081449;0.07221332683895676;9.6552205172290098;IE;EU
5277577;2400:cb00:2048:1::681b:671;2.0324576434216617;1.2633878100869436;9.2255271612258163;0.1403111163986431;0.086235610425713469;5.4293701998234321;HK;AS
5277706;2a00:1450:4007:805::2003;12.171939659762725;1.4136127978301776;19.494514945758873;4.0212272189986145;0.038704185778899863;10.782622528254162;IE;EU
5277589;2a00:1450:4007:805::2003;12.070739368158508;1.3442397034826867;19.353232455224475;0.55674216860071901;0.039922379299960474;9.2479517768692965;IE;EU
5277594;2a00:1450:4007:805::2003;12.132903989151183;1.4310837643005918;19.599827756409468;0.76951353645738396;0.41627652354627415;8.850717961440413;IE;EU
5277666;2400:cb00:2048:1::6819:af1b;2.2513020598409494;1.2280073798228486;9.5427801582578642;1.5096531578039885;0.19446773545901105;13.092103494997012;HK;AS
5277586;2400:cb00:2048:1::6814:1c30;1.9903926165678572;1.2550308293645833;9.3494965823425584;0.28596755082569286;0.21988028292754266;5.7671501961698137;HK;AS
5277575;2804:49c:3103:401:ffff:ffff:ffff:1;245.26316355759602;241.3246778771676;255.19111052242627;9.1820883918073726;8.763499971387418;338.46305135076682;BR;SA
5277732;2001:420:1101:1::a;129.75600553323602;114.412699932539;126.77599011408749;15.288801819399456;17.939812442110671;287.54559898240171;US;NA
5277565;2400:cb00:2048:1::6810:325d;1.9870799754162243;1.3004378210415928;9.4452745919395298;0.30477561368799244;1.3300864851155376;10.325647735395727;HK;AS
5277483;2a00:1450:4007:806::2004;12.31202225652741;1.4834770652587348;19.796530677711445;3.0401427820547045;0.08970286768563597;13.865322489186969;IE;EU
5277684;2400:cb00:2048:1::6814:372b;2.1461477145697607;1.2414300249517964;9.3015020009991023;1.306706815374808;0.013940249975249331;6.7493070329482991;HK;AS
5277647;2a02:598:2::1039;19.878896528189319;18.527962390703561;24.21077598170297;33.821703318598118;19.065837387603835;44.115641782207938;CZ;EU
5277517;2a00:1450:4007:805::2003;12.176388286628022;2.4878328603737465;19.770805752210617;3.2253875304259991;241.86977759658402;19.198206453563529;IE;EU
5277581;2a00:1450:4007:805::2003;12.250539654832544;1.4304459092698225;19.332269023668932;3.8816231608655705;0.044010892616869947;4.7912841797094492;IE;EU
5277555;2a00:1450:4007:805::2003;12.121376337784866;1.3899142274931751;19.466942045006828;0.53702679107503393;0.18827980083108797;10.460837706620927;IE;EU
5277591;2a00:1450:4007:805::2003;12.280411681549404;1.4290434494032738;19.404749151784824;8.9590849059653426;0.06584629307947315;5.6362228885309902;IE;EU
5277663;2a00:1450:4007:805::2004;12.026925303712954;1.5831283082319278;19.452245266066566;0.58577788517726337;0.044286291415336902;14.697203447495808;IE;EU
5277633;2a00:1450:4007:805::2003;12.077169092480416;1.7152689732940656;19.386388620181009;0.72961000402791953;30.53592640263285;6.745814615651029;IE;EU
5277567;2a00:1450:4007:805::2003;12.068745999010979;1.4680791434213649;19.316794866467951;0.42954928122294839;0.11007454694143926;10.636339794740739;IE;EU
5277503;2a00:1450:4007:807::2003;12.65877018268138;1.7358465995993992;20.588759584584686;1.8560099501990899;1.3856869287246127;28.620039302124596;IE;EU
5277529;2a00:1450:4007:806::2003;12.00646080838473;1.5348744690628742;19.245583652697007;0.86144391689968214;0.45590192505820909;4.6455075478238772;IE;EU
5277661;2a02:6b8::2:105;63.496121976979282;52.534289213212602;60.03200481481381;27.267921371064329;281.29500441718551;25.017832840081024;RU;EU
5277573;2a00:1450:4007:805::2003;12.124558107638988;1.3912797410708333;19.837100525792856;1.3420392158140637;0.15844697003610755;35.139941466133102;IE;EU
5277527;2a00:1450:4007:805::2003;12.056580883085971;1.4196902019913433;20.711861243778809;0.25943025038734185;0.02754721315492652;336.92853398501342;IE;EU
5277726;2a02:6b8::224;13.994121760634423;37.55593960435133;23.100428976259938;11.749283989225702;10.705502011178458;20.608676003272389;RU;EU
5277507;2a00:1450:4007:805::2003;12.150548868346155;1.4272163471402366;20.26184358481272;1.7022878412666138;1.3067445306464145;99.497770324411704;IE;EU
5277637;2a04:4e42:600::230;10.257516340796418;8.9860657223892542;21.944522606964775;10.278759859976381;7.7072396068877342;4.2668733525095623;;EU
5277563;2a00:1450:4007:805::2003;12.238705245538096;1.4220757400827382;19.961733551587798;3.9644502810044946;0.031800740473192597;17.854227785917356;IE;EU
5277635;2a04:cb41:f016:4::11;22.453015969338278;20.391535014838578;27.938254737881604;0.31858899344007208;158.09349429002449;11.364874563576649;NL;EU
5277541;2a00:1450:4007:805::2003;12.18281742850148;1.4233152041399408;19.492333106507399;3.2539177763088083;0.034867266907877725;6.0147679973541237;IE;EU
5277621;2400:cb00:2048:1::6810:7a6c;2.1730041518718934;1.2538892702177515;10.05056056706065;1.139655410552032;0.10435890753106349;37.37180451314655;HK;AS
5277659;2400:cb00:2048:1::6814:4a6a;2.0851029006861359;1.263721962636873;9.7148886184882013;0.24817773619279285;0.67720004516255516;17.416586105121731;HK;AS
5277734;2400:cb00:2048:1::681b:a0a0;2.0252719930762613;1.2301071444133531;9.3358891345192863;0.31773074124898454;0.049588556005381298;5.1332005536581269;HK;AS
5277676;2001:41d0:8:2674::70;5.4859636722740062;10.038769087663914;17.830622115187463;3.4458729977106586;0.14654791579727244;131.48918072561744;FR;EU
