mesurement id;Destination;mean(min RTT) from mPlane;mean(min RTT) from FranceIX;mean(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277651;2400:cb00:2048:1::6814:5e79;1.8041295508982038;1.1350526796407188;8.576240464071855;0.076699278079139621;0.0076471964140680283;2.1723850005988115;HK;AS
5277605;2a00:1450:4007:805::2003;11.93761772189349;1.3040526213017751;18.664148387573963;0.065702376449100194;0.0072303399983003735;2.0618792139402253;IE;EU
5277569;2a00:1450:4007:805::2003;11.941971383928571;1.2995675238095237;18.829113839285714;0.13493449555217701;0.0071994608146541943;9.5813554844595181;IE;EU
5277535;2a00:1450:4007:805::2003;11.934109925816024;1.2819992017804154;18.688724258160239;0.15139012879843664;0.0053066375112945973;2.3425682892820907;IE;EU
5277623;2400:cb00:2048:1::6814:18f7;1.9449748493975902;1.097935515060241;8.609567786144579;0.091310827673923081;0.0072584479395268802;5.3235128989617406;HK;AS
5277690;2a00:1450:4007:805::2004;11.797358825301206;1.6657006957831326;18.526401129518074;0.38469455895404181;18.554248521069336;2.7011919770741009;IE;EU
5277550;2a00:1450:4007:805::2003;11.910935388059702;1.282621647761194;18.732567955223878;0.044087790572386716;0.0044144434658580185;2.8393455268099235;IE;EU
5277649;2a00:1450:4007:805::2003;11.89336119402985;1.2982871791044777;18.659782776119403;0.4285633213654399;0.0080531648668634437;2.2477280166848308;IE;EU
5277521;2a00:1450:4007:805::2003;11.921071587537092;1.2792205163204746;18.698407047477744;0.46063982606120379;0.0070002826644099715;2.7056699104226625;IE;EU
5277577;2400:cb00:2048:1::681b:671;1.8798781008902077;1.1114048694362018;8.4740868249258146;0.080330618083188615;0.0071910790570571346;2.1851364671339839;HK;AS
5277706;2a00:1450:4007:805::2003;11.887653047337277;1.2838457840236688;18.65498278106509;0.44399952199441189;0.0058588405926545389;2.6145818654075024;IE;EU
5277589;2a00:1450:4007:805::2003;11.950672000000001;1.241884247761194;18.726919641791046;0.2076734200830149;0.0032759696112371218;2.5427037436130062;IE;EU
5277594;2a00:1450:4007:805::2003;11.941470902366865;1.2477823491124262;18.679220458579884;0.050774955873815884;0.0055320922015704276;2.2550777343208694;IE;EU
5277666;2400:cb00:2048:1::6819:af1b;1.9623028931750741;1.0907336854599408;8.5537576112759659;0.080381762509656243;0.007088834263788305;2.5760046864865047;HK;AS
5277586;2400:cb00:2048:1::6814:1c30;1.8176221130952379;1.1021126160714285;8.689503377976191;0.14663402188809432;0.0073630348064508151;2.9108759227411931;HK;AS
5277575;2804:49c:3103:401:ffff:ffff:ffff:1;242.10560906727829;240.84394483486238;252.33745218654434;5.6131183195085343;1.7484932929370365;3.9082823714644062;BR;SA
