mesurement id;Destination;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277700;2a00:1450:4007:805::2004;12.26426269345238;2.7222670386904761;20.674812589285715;3.895978323293416;180.68012222353408;113.8738304203107;IE;EU
5277651;2400:cb00:2048:1::6814:5e79;2.1853787724550897;1.5364915239520958;11.529221017964071;0.86617897609744499;1.4187069928956864;115.00362808497543;HK;AS
5277605;2a00:1450:4007:805::2003;12.965578284023669;3.7180571360946741;21.29947928994083;69.988509373059216;952.69602066480581;145.0312128686754;IE;EU
5277569;2a00:1450:4007:805::2003;12.924748035714284;1.5764640833333332;22.883152380952382;63.643488237048217;0.29824295937177886;2349.6384575464317;IE;EU
5277535;2a00:1450:4007:805::2003;12.725488679525224;1.8259862136498517;21.442349258160238;35.214631568230075;10.813541976682671;112.02904860250582;IE;EU
5277623;2400:cb00:2048:1::6814:18f7;2.4580563403614457;1.5385668463855422;9.8889694728915671;2.1563288314247848;2.3246188052100454;48.350845071604468;HK;AS
5277690;2a00:1450:4007:805::2004;12.719017018072288;4.030492337349397;21.84967325301205;49.263070724738526;875.23461308806304;105.29502101938354;IE;EU
5277550;2a00:1450:4007:805::2003;12.229036835820896;1.5864160686567161;19.946089059701489;1.2723986086774508;0.42337610340716236;10.702171951787546;IE;EU
5277649;2a00:1450:4007:805::2003;12.330423343283583;4.4461714537313428;22.837069716417911;3.1975547261956878;1508.2461503513023;586.51633662254687;IE;EU
5277521;2a00:1450:4007:805::2003;12.357740994065281;1.6136442106824929;20.671176468842727;2.8491820411625874;0.57599066845842761;54.783748275536944;IE;EU
5277577;2400:cb00:2048:1::681b:671;2.2274650741839763;1.4713613145400593;10.260845356083086;0.4151614227017007;0.64775200881028083;18.539791819668267;HK;AS
5277706;2a00:1450:4007:805::2003;12.675037218934913;1.5817236094674556;20.755188062130177;29.886004199651875;0.283873734367522;67.86015393083936;IE;EU
5277589;2a00:1450:4007:805::2003;12.245852059701493;1.4842713223880597;20.26184308955224;1.4732100121365037;0.3128358182956274;53.867360850491274;IE;EU
5277594;2a00:1450:4007:805::2003;12.459898668639052;1.7276563579881656;20.910238905325443;5.851438333053256;3.508317547757561;48.482570071733413;IE;EU
5277666;2400:cb00:2048:1::6819:af1b;2.700948753709199;1.4191245964391692;10.963540623145398;11.806522907503048;1.5090927607289231;83.38463794624532;HK;AS
5277586;2400:cb00:2048:1::6814:1c30;2.2240468154761905;1.4651093839285714;10.145761086309525;1.0441369178781028;1.8703178091235291;12.319699631317942;HK;AS
5277575;2804:49c:3103:401:ffff:ffff:ffff:1;248.91002209480123;242.01154434556577;259.6533997553517;32.393252823966932;46.85037427441064;2625.828074221572;BR;SA
5277732;2001:420:1101:1::a;132.25124846726189;116.91149404166667;134.36297828869047;118.87803584822318;139.12808103325335;2527.9281760819163;US;NA
5277565;2400:cb00:2048:1::6810:325d;2.2128532890855457;1.5951913952802361;10.79688901179941;0.92805932390946222;11.916621579996681;66.122257026576662;HK;AS
5277483;2a00:1450:4007:806::2004;12.818724608433735;1.6834325060240964;21.250343373493976;21.99193107663644;0.64733520346807516;94.297945612113494;IE;EU
5277684;2400:cb00:2048:1::6814:372b;2.515317874251497;1.3824898323353294;10.456617065868265;5.7586035877486257;0.076672092086678481;34.868696051578958;HK;AS
5277647;2a02:598:2::1039;20.6912931305638;19.258411397626112;25.239062833827891;89.826609911558222;102.73676613264047;101.5104809399253;CZ;EU
5277517;2a00:1450:4007:805::2003;12.671417005899706;4.6136718436578175;21.464981017699117;19.796860723854234;2026.6870873910673;135.12719532526498;IE;EU
5277581;2a00:1450:4007:805::2003;12.824159201183432;1.5918811834319526;20.293969644970414;33.647600385223917;0.3293255525919368;15.993588176957568;IE;EU
5277555;2a00:1450:4007:805::2003;12.41990262611276;1.5840144391691395;20.70752581602374;3.3782765613100922;1.3631948396827569;65.713194098089318;IE;EU
5277591;2a00:1450:4007:805::2003;12.97242287202381;1.5932816666666665;20.156352589285717;80.025490710637541;0.5017073448527698;11.907415074846719;IE;EU
5277663;2a00:1450:4007:805::2004;12.321041445783134;1.7412089427710844;20.771306777108432;3.7944584293403798;0.27046458957645148;88.520493615328192;IE;EU
5277633;2a00:1450:4007:805::2003;12.374895430267062;2.4703794540059345;20.399375207715131;5.3288416156390594;274.33238722587242;34.350616477245936;IE;EU
5277567;2a00:1450:4007:805::2003;12.248038931750743;1.6741007151335314;20.274247551928784;2.2745299876083553;0.85759406195837562;68.243630740790977;IE;EU
5277503;2a00:1450:4007:807::2003;12.918443213213212;1.9819182972972973;22.683234039039039;5.4840313572994344;2.6175757071059209;223.14441200450449;IE;EU
