mesurement id;Destination;median(min RTT) from mPlane;median(min RTT) from FranceIX;median(min RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277700;2a00:1450:4007:805::2004;11.784405;1.4248365000000001;18.056014999999999;0.097061657794493189;0.014853841076475308;2.5069459279925348;IE;EU
5277651;2400:cb00:2048:1::6814:5e79;1.7713025;1.1263070000000002;8.1643100000000004;0.076699278079139621;0.0076471964140680283;2.1723850005988115;HK;AS
5277605;2a00:1450:4007:805::2003;11.903;1.2956945000000002;18.2919275;0.065702376449100194;0.0072303399983003735;2.0618792139402253;IE;EU
5277569;2a00:1450:4007:805::2003;11.906044999999999;1.287615;18.281835000000001;0.13493449555217701;0.0071994608146541943;9.5813554844595181;IE;EU
5277535;2a00:1450:4007:805::2003;11.887924999999999;1.269191;18.282299999999999;0.15139012879843664;0.0053066375112945973;2.3425682892820907;IE;EU
5277623;2400:cb00:2048:1::6814:18f7;1.9104524999999999;1.0830440000000001;8.0772300000000001;0.091310827673923081;0.0072584479395268802;5.3235128989617406;HK;AS
5277690;2a00:1450:4007:805::2004;11.80378;1.4105325;18.112112500000002;0.38469455895404181;18.554248521069336;2.7011919770741009;IE;EU
5277550;2a00:1450:4007:805::2003;11.887404999999999;1.2716559999999999;18.276354999999999;0.044087790572386716;0.0044144434658580185;2.8393455268099235;IE;EU
5277649;2a00:1450:4007:805::2003;11.886274999999999;1.286899;18.321095;0.4285633213654399;0.0080531648668634437;2.2477280166848308;IE;EU
5277521;2a00:1450:4007:805::2003;11.909865;1.2685660000000001;18.313700000000001;0.46063982606120379;0.0070002826644099715;2.7056699104226625;IE;EU
5277577;2400:cb00:2048:1::681b:671;1.8460350000000001;1.0977380000000001;8.0731300000000008;0.080330618083188615;0.0071910790570571346;2.1851364671339839;HK;AS
5277706;2a00:1450:4007:805::2003;11.883469999999999;1.2743955;18.276735000000002;0.44399952199441189;0.0058588405926545389;2.6145818654075024;IE;EU
5277589;2a00:1450:4007:805::2003;11.90977;1.236747;18.2773;0.2076734200830149;0.0032759696112371218;2.5427037436130062;IE;EU
5277594;2a00:1450:4007:805::2003;11.91728;1.2431369999999999;18.274877500000002;0.050774955873815884;0.0055320922015704276;2.2550777343208694;IE;EU
5277666;2400:cb00:2048:1::6819:af1b;1.943775;1.078263;8.1401800000000009;0.080381762509656243;0.007088834263788305;2.5760046864865047;HK;AS
5277586;2400:cb00:2048:1::6814:1c30;1.7919749999999999;1.0876254999999999;8.1917375000000003;0.14663402188809432;0.0073630348064508151;2.9108759227411931;HK;AS
5277575;2804:49c:3103:401:ffff:ffff:ffff:1;242.94909999999999;240.72181399999999;251.77217999999999;5.6131183195085343;1.7484932929370365;3.9082823714644062;BR;SA
