mesurement id;Destination;mean(max RTT) from Gandi;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;mean(max RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964588;2a00:1450:4007:805::200e;9.3347082133333341;12.380756280000002;1.7986496906666665;18.964602226666667;187.90714458666665;3816.7626564155294;1.9624766754131613;0.97200745344918449;5.7893180612804427;11413.71145355891;IE;EU
6964675;2400:cb00:2048:1::6810:a632;43.379130316155987;2.58272106545961;1.7446299442896935;9.0523485097493044;201.3946058231198;34515.69570371462;7.3929054873511282;6.2571106475925093;7.6155030364016767;134343.33710016613;HK;AS
6964510;2620:109:c002::6cae:a0a;103.59371712500001;115.66526125;94.22911612499999;121.19874875000001;176.980451875;95.948517012555868;364.82964947621088;0.0054837413798593422;0.15901763459843832;4.7097027143523649;US;NA
6964606;2a00:1450:4007:808::2009;13.229358353351955;12.160364685754189;2.0020956843575419;20.256051627094973;201.50768414525137;288.20634420436437;6.1865631621226305;3.8930518112276991;82.251107449437526;81480.952503839158;IE;EU
6964502;2001:4998:44:204::a7;204.4952707017857;129.79620940178572;119.45543839999999;123.53409537500001;275.26028327500001;98659.163878751599;387.094422225031;212.11926906313576;1456.3694155041273;37601.385439592508;US;NA
6964520;2a00:1450:4007:805::2003;52.207261704895103;12.58133302097902;2.0088387230769231;21.767005496503497;229.94841273146855;42938.43205790349;5.1053509497163292;3.581724449346734;1076.1449505765856;953746.24367339816;IE;EU
6964691;2400:cb00:2048:1::6819:1b65;16.469722968899521;2.6843804904306223;1.8413041267942587;8.9516049282296652;262.50863700717701;10673.159415268163;10.661502207035346;13.88411514939401;8.9645647637224837;92177.715421230081;HK;AS
6964630;2003:2:4:164:217:6:164:162;27.499875685430467;12.703062417218543;13.814930837748346;16.617902350993376;213.45695573841056;222.99115586677391;12.46033774111055;0.36901440375581807;3.8190640347388438;417781.5464490843;DE;EU
6964699;2400:cb00:2048:1::681c:1bd1;27.763706737967912;2.5311699732620321;1.620415780748663;9.2563702272727273;317.42862232887705;10815.984050216884;5.593503826320589;3.2369503984654009;13.532437503041729;6337294.6548578646;HK;AS
6964536;2a02:26f0:b2:198::d80;244.09805682485873;21.152752401129945;24.771315999999999;44.057857690677963;420.93113679096047;430288.20460310107;28.054505855972341;981.1077011286319;1680.9773537155545;8773545.7476735339;;EU
6964652;2a02:598:2::1039;29.896817109550561;27.61479174157304;19.889190845505617;30.253760112359554;368.1937082949438;194.9234045164059;36.75760835500062;416.89795261209707;156.02245084197563;8569561.4010226391;CZ;EU
6964679;2400:cb00:2048:1::6814:44cc;6.780442875846501;2.6283516817155754;1.6087160993227991;9.0080613544018053;256.84022666365689;144.62747557708397;8.4674505808799605;3.5654694796799089;11.127785915033943;64810.413578090251;HK;AS
6964664;2400:cb00:2048:1::6814:4a6a;7.1724683337988839;2.531062248603352;1.6338474399441345;9.5690730865921783;191.51684951955309;492.45104982019114;4.5760146597598181;3.9978922381980762;30.499237771674963;36241.001293072113;HK;AS
6964705;2a00:1450:4007:805::2004;16.172979754901963;12.567686512605043;1.8779456862745099;19.78797799719888;275.26362598879552;2107.6286411462206;25.160026956741621;1.6368279917030055;51.721899994708096;3900673.6388497856;IE;EU
6964636;2400:cb00:2048:1::6819:1863;5.638012058906031;2.5538190182328186;1.8011986605890602;10.165867356241234;218.95415638569426;118.62679827243765;6.0497968307564705;5.201972267401116;76.673821498067724;115493.04820829601;HK;AS
6964715;2400:cb00:2048:1::6814:4298;22.199033398550728;2.4065428743961355;1.6159179516908213;9.1504609299516915;242.35978426570048;15189.42482346852;3.6583499797622689;3.2087613042154421;14.53569958097661;1359414.2180706649;HK;AS
6964628;2400:cb00:2048:1::6814:18f7;17.76299904989154;2.7251609652928419;1.7003466637744036;9.1712068329717997;374.16889686984808;4644.337545321272;7.0120563689951094;4.7825967170698327;11.144117611263614;4982513.4131079549;HK;AS
6964584;2804:49c:3103:401:ffff:ffff:ffff:1;350.69805247641517;250.0939628301887;241.64093930188679;244.97505859669812;389.94212488443395;177463.51979295333;42.908505467729505;116.50496273726466;621.57491021345254;1425533.9618685099;BR;SA
6964568;2400:cb00:2048:1::6814:104;40.155193856310675;2.5724431067961162;4.3149693339805824;10.146234834951457;201.4603345669903;33243.990163275688;5.1911587471391822;1297.9080601603332;163.98869259031966;188977.5165721103;HK;AS
6964518;2a00:1450:4007:805::2003;22.750415155495979;12.560078230563004;2.2800399168900802;18.850500804289545;205.48090798927612;23042.074126145337;5.3779883647579956;57.671941045579445;4.8321553358766982;27607.007940935524;IE;EU
6964522;2a00:1148:db00:0:b0b0::1;146.07441034653468;51.258296329561531;52.680596495049507;59.845379766619523;284.85269859547384;109826.81507140599;64.637114518668312;86.734300208142471;1816.1065815433908;44749.588911960818;RU;EU
6964656;2400:cb00:2048:1::6814:5e79;50.445278001402528;2.6054753927068726;1.7545454880785414;10.321487896213183;242.91526569565218;54419.326205642035;8.3423032689294399;6.9883050609858852;38.193377372658681;42169.679730311502;HK;AS
6964640;2a04:cb41:f016:4::11;72.058329716030542;15.857495709923665;16.828663276335877;26.94996948854962;257.41612950229006;79563.411681782789;8.6858960188839607;75.284322431922192;37.080011611774964;60363.232008166386;NL;EU
6964668;2a00:1450:4007:805::2004;25.232500343811395;12.265666434184677;2.2367599764243615;19.691833958742635;266.25327343222006;11254.697911905494;2.9920708574011847;23.22967594206925;36.548472867930158;1786621.5391374384;IE;EU
6964498;2a00:1450:4007:806::200e;22.080973730401528;12.316685219885278;1.8444258929254302;18.79358944550669;391.92484888910133;3216.0675262923423;3.5197120374290614;0.44282038185755634;8.9243245903164219;5471930.0780650089;IE;EU
6964608;2400:cb00:2048:1::6810:56ca;51.069999104748611;2.5155052444134078;2.4963238896648043;10.393915502793297;191.66022318296086;57376.878590067077;5.7448265518831443;193.67821876153394;167.09786996712236;91592.853475209835;HK;AS
6964516;2a00:1450:4007:807::2003;51.299947225388593;12.827705686528496;1.7500397642487047;19.370302797927458;380.32780669948193;55770.625475360313;30.1594461354277;0.34799055073160512;10.715226330898519;5551493.3178555975;IE;EU
6964697;2a01:e0c:1::1;57.693208490716181;2.3422678779840851;2.2670994403183027;12.113465251989389;366.94160793633949;54928.338796414828;1.9865335387095555;0.28919192339808197;12.813415711138068;5727031.6047013002;FR;EU
