mesurement id;Destination;median(avg RTT) from Gandi;median(avg RTT) from mPlane;median(avg RTT) from FranceIX;median(avg RTT) from LISP-Lab;median(avg RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964588;2a00:1450:4007:805::200e;2.8623363333;12.0012416667;1.5241899999999999;18.541603333299999;168.388642;834.14080493347581;0.25098224001363723;0.11862108110432278;0.69620093314295173;1718.733097087196;IE;EU
6964675;2400:cb00:2048:1::6810:a632;5.0095371666500004;1.8108724999999999;1.14061533335;8.2662875000000007;172.808099;6542.7243739212536;2.6876664239065637;2.7754082102132771;3.5820474353402392;98127.30822141502;HK;AS
6964510;2620:109:c002::6cae:a0a;97.766291999999993;107.92040666700001;94.128255333300004;120.856639167;176.2790758335;48.387279917849931;40.464838353106344;0.0044237845083963216;0.032213842872021024;4.9734928287230078;US;NA
6964606;2a00:1450:4007:808::2009;4.4616971667000005;11.64729166665;1.5324385;18.406699166700001;171.69104233299998;57.817654093175094;0.73233044914116052;0.44867851872262809;16.593661006213235;11889.279541332431;IE;EU
6964502;2001:4998:44:204::a7;112.5170148335;141.49476916700002;121.6329765;128.02139;220.601068;21625.300915305743;312.56925841522178;40.319635910758073;227.83203960315265;9674.3964682301466;US;NA
6964520;2a00:1450:4007:805::2003;4.2897926667000004;12.0768366667;1.5183833333000001;18.374938333300001;173.56521866700001;8000.6053545037794;0.6384770950422497;1.0734796756154867;125.29821897372963;302630.47468845925;IE;EU
6964691;2400:cb00:2048:1::6819:1b65;2.37478416665;1.8396441666499999;1.0850043333500001;8.1079100000000004;171.75030666700002;2891.7032279512136;3.6498160241656077;3.6941133177674996;4.0314930345347619;18238.920218821695;HK;AS
6964630;2003:2:4:164:217:6:164:162;22.011908666650001;11.57241666665;13.567149166650001;15.9835666667;170.26653016649999;45.692822036086433;4.4708679383415015;0.052997913311625344;0.48302237332279996;296728.32649333199;DE;EU
6964699;2400:cb00:2048:1::681c:1bd1;2.46886466665;1.7912250000000001;1.1002068333500001;8.297934999999999;172.99587483350001;2545.0138732006894;2.7064322706908288;2.3511605984688577;4.5590518028578;1035532.9441925114;HK;AS
6964536;2a02:26f0:b2:198::d80;32.567302499999997;20.3585441667;21.2212696667;39.762693333350001;236.32644716649997;114909.03224433285;3.1916379771505574;259.58744949205231;191.8833209420516;1095502.862572202;;EU
6964652;2a02:598:2::1039;26.676101500000001;26.923559583349999;17.740614999999998;27.6757575;195.78423100000001;22.860617936635879;5.8162577182101263;98.032079788612748;18.308226458484871;1078958.9929720222;CZ;EU
6964679;2400:cb00:2048:1::6814:44cc;2.3096329999999998;1.76467;1.0889783333;8.1639400000000002;171.76477;23.980081708487521;3.5913034102494206;2.6661862670918128;4.5307888247020154;16255.391344453599;HK;AS
6964664;2400:cb00:2048:1::6814:4a6a;2.5251846667;1.9007608333500001;1.1108833332999999;8.1998908333500005;173.106211;63.056165641322451;2.3118479407988684;2.6254018094299485;12.603244659821691;12008.229558317233;HK;AS
6964705;2a00:1450:4007:805::2004;3.96748883335;11.852862500000001;1.5620210000000001;18.24228916665;184.942117;267.10575427063179;2.8590005956972027;0.193209677792713;13.003189205553191;709226.82546980365;IE;EU
6964636;2400:cb00:2048:1::6819:1863;2.4304640000000002;1.8823300000000001;1.1152223333;8.0922616667000007;187.577381667;16.866711528049262;2.5573235529241036;2.7786891123735282;17.920472858742354;107224.56071590928;HK;AS
6964715;2400:cb00:2048:1::6814:4298;2.3942405;1.8322699999999998;1.1007973333000001;8.1070591667000009;172.31363433299998;3405.0282242574176;2.3708348328995301;2.3410072161361706;4.625441195683389;284456.97326153039;HK;AS
6964628;2400:cb00:2048:1::6814:18f7;2.5402886667;1.9452449999999999;1.1211316667;8.2735716667000005;171.67235400000001;714.83907088377293;2.6434738135906781;2.8921004347368036;4.3967016178272464;1167144.0409748957;HK;AS
6964584;2804:49c:3103:401:ffff:ffff:ffff:1;239.70001616650001;245.9119479165;239.8856048335;242.18875750000001;301.13343616650002;39056.948656155066;27.862970492327342;16.014087692963489;101.36621051521436;583938.87820189528;BR;SA
6964568;2400:cb00:2048:1::6814:104;2.4537603333;1.9180816667;1.1252083333;8.1946183332999993;173.28157100000001;13533.949004656382;2.4104076740976805;176.25632263932553;21.372587990052399;46987.086830709777;HK;AS
6964518;2a00:1450:4007:805::2003;3.0231043333000001;12.055664999999999;1.4915146667000001;18.345178333300002;168.45520200000001;8273.0567491892889;0.72352972248079972;6.4340181963694318;0.62013366599803887;4561.0601745228068;IE;EU
6964522;2a00:1148:db00:0:b0b0::1;69.152525666700001;49.731368333299997;51.457790666699999;55.898206666699998;233.135150667;29856.785556960334;7.6539153282952288;9.9771249670810374;203.73906555381228;7467.6624707222545;RU;EU
6964656;2400:cb00:2048:1::6814:5e79;4.0209933332999999;1.8943783332999999;1.1275383333;8.2135366666999996;196.63850333299999;9737.6931759465315;2.8024497527982044;3.4286145018379743;7.3764051087739047;7917.5203105061955;HK;AS
6964640;2a04:cb41:f016:4::11;25.3291573333;14.9000366667;16.071521000000001;26.133858333300001;184.58218099999999;11998.769690172718;3.4142104510543319;8.7298730151866142;4.1618835673416816;18557.611241444771;NL;EU
6964668;2a00:1450:4007:805::2004;3.4076170000000001;11.848491666699999;1.6507833332999999;18.210750000000001;168.28624166700001;2309.4335351249656;0.61721933075902347;2.6727067985787301;4.6360336863300793;395225.20547716803;IE;EU
