mesurement id;Destination;median(min RTT) from Gandi;median(min RTT) from mPlane;median(min RTT) from FranceIX;median(min RTT) from LISP-Lab;median(min RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964588;2a00:1450:4007:805::200e;2.757889;11.96945;1.431074;18.450710000000001;167.459362;46.407224970664714;0.0026357107809155578;0.0070688239333091549;0.010215402182999817;40.120459939518717;IE;EU
6964675;2400:cb00:2048:1::6810:a632;2.5981449999999997;1.7134775000000002;1.0473954999999999;8.1394200000000012;171.88649850000002;200.41440727298601;2.0505244184065492;2.2973376010955739;3.0015905648445385;83291.344486478454;HK;AS
6964510;2620:109:c002::6cae:a0a;97.574803500000002;107.84511499999999;94.019401999999999;120.7619175;176.21802;21.517156039296584;0.037677786260938047;0.0053712320748595171;0.0094916971859375261;5.1544918792324506;US;NA
6964606;2a00:1450:4007:808::2009;2.9617924999999996;11.609092499999999;1.4319985;18.290937499999998;169.56214549999999;7.7680244791290098;0.0087101153717523572;0.0062560854335348831;7.5680329696377431;89.362040874733026;IE;EU
6964502;2001:4998:44:204::a7;109.17045350000001;141.41325749999999;114.0399635;127.83125749999999;193.50954250000001;4905.2697675721947;299.84137375094451;18.590167323798038;65.206640093705971;2019.5561063435778;US;NA
6964520;2a00:1450:4007:805::2003;3.2424970000000002;12.039915000000001;1.42072;18.24652;170.09053;679.51089887796059;0.030734582448219763;0.64766011176056215;4.4532308952905044;15079.205158310087;IE;EU
6964691;2400:cb00:2048:1::6819:1b65;2.1934084999999999;1.7398374999999999;1.0051270000000001;7.9687900000000003;170.3347545;372.0036640594393;2.2512456552910023;2.4485200334435198;3.4563240678369085;4700.6411565006993;HK;AS
6964630;2003:2:4:164:217:6:164:162;21.789700500000002;11.529820000000001;13.448274;15.867439999999998;169.78678600000001;4.1503496453343427;3.4433312731432939;0.0084896939723026216;0.01442625855974518;196822.73161519374;DE;EU
6964699;2400:cb00:2048:1::681c:1bd1;2.1684485000000002;1.6865399999999999;1.014459;8.173192499999999;172.1226585;305.3424912746143;2.2480920085242224;2.2001026138934301;3.4510452218394185;72.078551759043037;HK;AS
6964536;2a02:26f0:b2:198::d80;28.5738305;20.299985;21.125207500000002;39.567722500000002;220.76548400000001;14861.759699392738;0.055415111754562651;7.9897329074519696;3.3459676855856006;860.27068093561866;;EU
6964652;2a02:598:2::1039;26.441477499999998;26.8374925;17.617697499999998;27.528927500000002;181.72842;0.38347315597328807;0.92141833059899292;31.862101485852822;0.17605092249966461;2811.1014060068865;CZ;EU
6964679;2400:cb00:2048:1::6814:44cc;2.1519370000000002;1.6567449999999999;1.004057;8.0420449999999999;170.57360199999999;4.3067315511866981;2.5989048655403129;2.5332589701721355;3.6488742548504809;6422.9924357644968;HK;AS
6964664;2400:cb00:2048:1::6814:4a6a;2.1711365000000002;1.7902775000000002;1.029701;8.0354500000000009;171.94870650000001;3.5685841378277834;2.0614541429645996;2.4430014432995328;9.6238617095770671;8526.6869350785419;HK;AS
6964705;2a00:1450:4007:805::2004;3.1595525000000002;11.811977500000001;1.4748044999999999;18.124694999999999;171.95984199999998;6.2183204335765083;0.036894026154390976;0.005212563907823365;7.2967488494964448;206.5363292384738;IE;EU
6964636;2400:cb00:2048:1::6819:1863;2.1696;1.771855;1.024856;7.9130050000000001;174.54262700000001;3.5287266809366016;2.0748583306597852;2.4234596367488779;9.6451528045640291;104056.46983772721;HK;AS
6964715;2400:cb00:2048:1::6814:4298;2.1872639999999999;1.73291;1.0236959999999999;7.9605224999999997;171.94486699999999;29.290271826796982;2.1306947772607621;2.2423823693860219;3.3761378901249679;62.424808485220503;HK;AS
6964628;2400:cb00:2048:1::6814:18f7;2.2740480000000001;1.844185;1.040176;8.1332249999999995;170.521378;30.171030550963941;2.0776807550091965;2.4545486282573807;3.3232584918174006;42440.552441619904;HK;AS
6964584;2804:49c:3103:401:ffff:ffff:ffff:1;238.99780800000002;244.114285;239.74852799999999;242.03692749999999;300.42553199999998;8543.0721075112469;24.543949429407675;1.1228984445609322;35.201701110497829;916.70066894446916;BR;SA
6964568;2400:cb00:2048:1::6814:104;2.1319680000000001;1.8164499999999999;1.0323560000000001;8.0410400000000006;172.10653099999999;2511.3297804261488;1.9496339700334735;2.4027391519989445;3.0053375854033941;82.182673833384754;HK;AS
6964518;2a00:1450:4007:805::2003;2.9114879999999999;12.020595;1.4040649999999999;18.253544999999999;167.407138;1402.0189496659209;0.011248557060815508;0.0044999118636954785;0.018805756094378231;127.70882399461422;IE;EU
6964522;2a00:1148:db00:0:b0b0::1;65.825294;49.576864999999998;51.314399999999999;55.689720000000001;211.61937;3850.5931870654194;0.33812491091309094;0.33925153419937171;0.31607910457094818;662.16985251335143;RU;EU
6964656;2400:cb00:2048:1::6814:5e79;2.4499209999999998;1.7886500000000001;1.0443499999999999;8.0385650000000002;177.10544400000001;451.35371446259205;2.0989800511247894;2.6579697066189305;3.1805090481422145;1553.0886842525163;HK;AS
6964640;2a04:cb41:f016:4::11;22.066949000000001;14.82531;15.940172;26.01989;172.59344300000001;529.50713200874509;2.7669343155402957;0.33616007716495672;0.011506691772047082;1636.6027693937453;NL;EU
6964668;2a00:1450:4007:805::2004;3.1027209999999998;11.8085;1.5414129999999999;18.120024999999998;167.67133000000001;39.978367328504959;0.062068806783327962;0.0071416772134644223;0.029728624526081604;48795.019224847398;IE;EU
