mesurement id;Destination;mean(avg RTT) from Gandi;mean(avg RTT) from mPlane;mean(avg RTT) from FranceIX;mean(avg RTT) from LISP-Lab;mean(avg RTT) from LIP6;variance from Gandi;variance from mPlane;variance from FranceIX;variance from LISP-Lab;variance from LIP6;Country;Continent
6964697;2a01:e0c:1::1;39.271760542445627;2.1169260123761275;2.103997517242175;11.497606476570292;311.70881464192041;29814.439796135754;0.29356845653590685;0.044234071729459409;1.4925621464696912;3467652.2405533511;FR;EU
6964731;2a02:6b8::224;49.653630255837541;43.630161647992296;39.821249382820589;60.858470490195238;252.19017518441598;1044.8281540668943;6.3056831882799873;30.924821846333725;291.96119484080924;39542.641590062078;RU;EU
6964626;2400:cb00:2048:1::6810:7a6c;7.8117512249404193;2.2674862925405592;1.4403724554776225;8.6796661340313292;197.45485558791884;286.82487167272984;2.7602487271147207;2.5283405992355936;5.878087205496608;145788.61228594402;HK;AS
6964670;2400:cb00:2048:1::6819:af1b;9.9211696727269931;2.281480494173147;2.1040058582751051;8.9866057086254543;179.51420445780698;2104.369238771415;2.2901409369673384;104.24161905103159;10.934454031128555;6705.416829509838;HK;AS
6964735;2001:260:401:270::43;355.31738564177613;259.62344397871641;230.9055267553814;247.00745155750246;332.53256785970649;109997.23892774162;27.075435139298264;20.692145345688157;7.5239680893496059;919522.98106668738;JP;AS
6964727;2400:cb00:2048:1::6818:a02;29.541752862171872;2.2884524660123771;1.493377172526301;9.0771254617929689;250.36290814951198;13891.816710614596;2.3479423097540835;2.8003809666836523;19.230151556554389;875165.51251186838;HK;AS
6964544;2a00:1450:4007:806::2009;47.365712453749637;12.170119722221029;1.6357666967092988;19.154502031472962;215.58903873819887;36146.487318482323;3.1628505070083648;0.74425228960689038;22.850418915761392;6707.1303010990869;IE;EU
6964739;2400:cb00:2048:1::681b:a0a0;10.938974968770809;2.1910436982236683;1.37879866469428;9.0592409467443797;263.38278651025047;1726.6887246378531;1.9446652839097249;2.2956518443704987;23.41494239796933;1512564.7852067868;HK;AS
6964681;2001:41d0:8:2674::70;24.956819774052516;5.2177905257278523;10.96031728019933;15.942808148768959;89.780026938758724;3320.2949031973949;2.0716369505662779;101.650302030167;2.7144962590529467;10664.512547044915;FR;EU
6964624;2620:0:862:ed1a::1;19.388537632591852;14.084112935802814;11.493633731358372;21.044681503702666;174.5156374753052;188.85237334683922;5.0175659861962538;0.17044828129543699;1.8845335052296828;1772.8916522173504;US;NA
6964725;2400:cb00:2048:1::6814:50f4;3.7803033153669503;2.3945821229309217;1.4308553640666666;9.7584317718678015;252.20409028934185;20.992795113043854;4.6132128933676286;2.5569477045739308;186.81349977777893;849379.7393128532;HK;AS
6964532;2a00:1450:4007:805::2009;9.9134150042113642;12.055662819865404;1.6042379612805553;18.499237188552776;173.08915521971969;1739.7639314179301;0.30084232566834873;0.28283183322035893;2.3536519037983958;761.2647595855841;IE;EU
6964729;2400:cb00:2048:1::6814:3338;13.810543657048269;2.2304456346134613;2.0277247442309614;8.6023383076919231;291.82051479333268;1150.9280516320857;2.8839192563074594;90.066283623821235;5.74604694634436;1808099.4927742812;HK;AS
6964508;2a00:1450:4007:805::2003;15.447178563078214;12.253515432961731;1.6892347825888265;18.992444897578352;198.43057301605447;4860.1968265758842;1.2020867949741727;2.3823733063045212;14.833856554812064;509768.41384727479;IE;EU
6964552;2a02:b48:4000:d::1;42.805935298628299;20.445180771016421;10.885989802539882;18.297246287878593;237.34205751542376;19160.899533484171;8.3528979270462216;53.071708063785813;15.151518686379166;736749.34996021516;UA;EU
6964602;2001:978:2:aa::25:2;19.739460670234493;21.714050450089037;12.806439861854011;15.699861648840642;220.96418291391976;192.5155613228882;6.7408856569031617;465.69203742263727;2.4882016147585282;631416.86823571986;DE;EU
6964574;2400:cb00:2048:1::6810:325d;11.435968747191994;2.2044208333328648;1.4680109592696626;9.0695823197570231;181.22287231202671;908.38863565809402;2.2571158017685224;2.8502735770969432;23.975116364694458;1914.6102477869874;HK;AS
6964717;2a02:6b8:a::a;67.651108730989293;43.955442058685634;39.744992072300562;59.014649291078868;246.34277469179861;5336.7153625058954;13.343681213287223;33.308903240044756;4.3021297367388529;9627.4526170637782;RU;EU
6964594;2400:cb00:2048:1::6814:1c30;5.311383532166853;2.1937081911423775;1.4963141780892306;9.2651568951023773;213.93779610442519;29.587158682654902;3.9347680409659169;2.5497925489128379;21.115971469411104;952229.8948035388;HK;AS
6964504;2620:0:862:ed1a::1;18.690593837620991;14.039277559406733;11.45768842376317;21.258569181517231;251.90047217583759;53.372913949351997;1.7808308787063512;0.2944827608375174;4.3250856308607855;1767113.9238451431;US;NA
6964620;2a00:1450:400c:c02::a0;8.0963354517586836;16.394870583331581;7.0050237087697349;22.921275135963683;235.97452928947891;9.502553271994957;1.3238475358044475;191.04708305360225;4.0692559287233783;1452986.5631360491;IE;EU
6964642;2a04:4e42:600::230;135.80122944345345;11.882892369870271;100.45673242165449;20.866174014016064;256.56851743171921;23064.059064421181;8.8799994495820886;13.650460507148601;11.126484847326813;1302256.6523061953;;EU
6964733;2400:cb00:2048:1::681b:d61e;17.001326661047546;2.2954483754093968;1.4567604137453014;9.4779401496008422;181.05753980198315;5993.4889968654734;2.2544931642164672;2.6362656398810502;120.19294043059628;1647.0343739804773;HK;AS
6964737;2001:420:1101:1::a;119.35879223950097;128.16420964241163;113.79594441099029;122.67994664724853;213.13292934365046;150.07510455841063;8.0437903141805389;15.733752889585256;23.882956843269252;828582.21617038664;US;NA
6964496;2a00:1450:4007:806::2004;31.262475939920339;12.35003011453969;1.5974007938287518;18.875083272558065;174.04063733590041;13327.287693016628;1.595323133697552;0.088242696484257227;4.0645500620146704;410.2714990606429;IE;EU
6964586;2400:cb00:2048:1::681b:671;10.342039549086394;2.2896862716228608;1.4213948611510518;8.5424154815316964;242.08975742433097;1283.11620985582;3.5177237082084249;2.6840921827351027;3.8377756167572419;683730.83213082398;HK;AS
6964695;2a00:1450:4007:805::2004;37.08066826086732;12.042705767883872;1.7057575759698458;18.896915462833377;178.20536576297755;21343.194526388743;1.9263798284509166;0.6909855003246459;13.131245000923279;5043.2297153007212;IE;EU
6964514;2a02:6b8:a::a;46.370402264681303;43.699639096658537;39.725930833785362;59.008940889791326;205.62477467527103;227.06371080534686;5.1552156565619862;27.814803334119286;4.0249670222814453;643.4441227954344;RU;EU
