measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6964089;104.16.165.50;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963849;103.25.22.168;2;4;6;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6964031;79.175.144.35;1;5;5;['FR', 'FR', None, '/', 'IR'];['FR', 'FR', 'BG', None, 'IR'];IR;AS
6964019;52.76.232.196;1;3;5;['FR', None, 'SG'];['FR', 'FR', 'DE', 'GB', 'SG'];US;NA
6964229;209.225.49.78;3;5;6;['FR', 'FR', 'FR', 'ES', 'AR'];['FR', 'FR', 'DE', 'FR', 'ES', 'AR'];AR;SA
6963805;31.192.116.24;3;5;7;['FR', 'FR', None, 'US', 'NL'];['FR', 'FR', 'DE', 'GB', None, 'US', 'NL'];NL;EU
6963773;104.20.93.127;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963674;27.133.208.13;2;5;6;['FR', 'FR', None, 'US', 'JP'];['FR', 'FR', 'DE', 'GB', 'JP', 'JP'];JP;AS
6964029;83.66.162.3;3;5;7;['FR', 'FR', None, 'TR', 'TR'];['FR', 'FR', 'DE', 'GB', None, 'TR', 'TR'];TR;AS
6964255;173.192.117.80;2;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6963928;104.101.166.212;1;3;6;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', None, 'US'];US;NA
6963857;74.125.71.160;1;3;4;['FR', None, 'US'];['FR', 'FR', 'IT', 'US'];US;NA
6964045;173.192.117.80;2;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'FR', 'US'];US;NA
6964378;61.135.218.26;2;4;6;['FR', None, 'CN', 'CN'];['FR', 'FR', 'FR', 'US', 'CN', 'CN'];CN;AS
6964495;104.27.161.160;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963524;104.244.42.5;1;2;3;['FR', 'US'];['FR', 'FR', 'US'];US;NA
6963843;63.240.4.179;2;4;6;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964414;23.15.77.41;1;3;5;['FR', None, 'GB'];['FR', 'FR', 'DE', 'GB', None];NL;EU
6963969;216.34.181.60;1;3;6;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964047;213.180.193.105;1;3;4;['FR', 'FR', 'RU'];['FR', 'FR', 'DE', 'RU'];RU;EU
6964404;209.95.39.162;0;2;4;['FR', 'US'];['FR', 'FR', 'DE', 'GB'];US;NA
6963775;203.190.242.69;2;5;5;['FR', 'FR', 'FR', 'ID', 'ID'];['FR', 'FR', 'DE', 'ID', 'ID'];ID;AS
6964093;205.203.140.1;0;4;1;['FR', 'US', 'US', 'US'];['FR'];US;NA
6964251;74.205.63.94;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963662;219.85.79.131;2;5;6;['FR', 'FR', None, 'TW', 'TW'];['FR', 'FR', 'DE', 'GB', 'TW', 'TW'];TW;AS
6964485;104.31.135.74;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964139;104.20.64.203;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963963;104.156.81.84;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963983;104.156.85.64;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964269;46.224.3.195;1;4;6;['FR', None, '/', 'IR'];['FR', 'FR', 'DE', 'GB', None, 'IR'];IR;AS
