destination;probe;1_min/avg/max;2_min/avg/max;3_min/avg/max;4_min/avg/max;5_min/avg/max;6_min/avg/max;7_min/avg/max;8_min/avg/max;9_min/avg/max;10_min/avg/max;11_min/avg/max;12_min/avg/max;13_min/avg/max;14_min/avg/max;15_min/avg/max;16_min/avg/max;17_min/avg/max;18_min/avg/max;19_min/avg/max;20_min/avg/max;21_min/avg/max;22_min/avg/max;23_min/avg/max;24_min/avg/max;25_min/avg/max;26_min/avg/max;27_min/avg/max;28_min/avg/max;29_min/avg/max;30_min/avg/max;31_min/avg/max;32_min/avg/max;33_min/avg/max;34_min/avg/max;35_min/avg/max;36_min/avg/max
180.149.132.47;FranceIX;[288.682743, 290.3810935, 292.079444];[277.817971, 280.5672235, 283.316476];[258.873684, 274.8692856667, 289.311377];[272.988061, 282.9256843333, 294.047059];[253.436721, 266.7403256667, 274.078489];[273.035964, 284.6365823333, 292.025333];[275.195529, 288.1319006667, 295.663673];[262.496348, 278.3652783333, 291.881283];[286.363743, 299.9395626667, 310.805001];[296.715109, 296.715109, 296.715109];[294.550141, 294.6429055, 294.73567];[289.208505, 291.898315, 294.588125];[332.484312, 336.931824, 341.379336];[292.472842, 299.062348, 305.235143];[276.467395, 288.013945, 298.997908];[292.460027, 293.183454, 293.906881];[291.642274, 292.2444326667, 293.159842];[283.393578, 290.8898215, 298.386065];[290.847869, 291.6465826667, 292.689629];[327.15024, 329.183824, 331.217408];[333.836468, 338.57012, 343.303772];[313.225646, 316.337137, 318.320579];[272.565974, 280.184261, 292.086335];[271.325604, 276.514379, 280.291663];[307.615924, 310.6299025, 313.643881];[294.667447, 294.667447, 294.667447];[286.819493, 292.5734536667, 298.430829];[300.03138, 303.8017646667, 306.838607];[307.308367, 315.2847336667, 324.169869];[293.259739, 294.443485, 295.627231];[313.239399, 381.14125, 449.043101];[356.949804, 360.7374535, 364.525103];[365.340863, 366.5174086667, 367.967649];[328.181259, 329.361333, 330.541407];[333.008451, 335.105644, 337.202837];[292.32736, 302.708181, 308.569798]
180.149.132.47;LISP-Lab;[260.64646, 265.5388783333, 269.93749];[-1, -1, -1];[-1, -1, -1];[258.3689, 265.6124533333, 274.412125];[274.68819, 274.68819, 274.68819];[261.658385, 279.0936383333, 306.06651];[275.2068, 276.6033466667, 279.054265];[263.937625, 281.6736933333, 292.873145];[262.1957, 265.23199, 268.26828];[277.972835, 278.2017025, 278.43057];[269.515145, 276.20378, 283.002155];[263.930315, 266.647375, 270.84999];[273.53792, 273.53792, 273.53792];[263.492055, 270.4653833333, 274.56019];[264.302875, 271.93684, 280.491145];[262.83066, 278.6459033333, 297.733895];[261.884865, 271.744925, 276.85053];[273.085685, 276.0138283333, 279.46077];[268.08026, 274.6129975, 281.145735];[262.88608, 269.7830916667, 281.143545];[287.136015, 297.41286, 302.656265];[263.021665, 268.5554883333, 273.43457];[263.42428, 265.3886416667, 266.49547];[262.237645, 263.0029716667, 264.25083];[266.743405, 270.0645483333, 272.204355];[264.26603, 267.8911075, 271.516185];[277.112185, 280.9654016667, 284.19721];[273.360275, 278.9803, 285.309235];[271.657465, 275.1052616667, 279.967575];[266.88303, 268.2061633333, 270.04447];[262.015355, 266.4474516667, 273.315545];[275.897525, 281.34388, 288.09644];[268.8398, 284.5302616667, 297.751345];[275.705795, 275.705795, 275.705795];[274.64695, 276.9119575, 279.176965];[260.297385, 265.2068383333, 271.25135]
98.139.183.24;FranceIX;[110.24076, 110.4162656667, 110.516463];[110.168423, 110.499592, 110.760207];[151.874489, 153.0494856667, 155.045985];[187.454911, 192.6705726667, 195.617442];[342.18159, 346.242237, 349.455109];[149.328199, 150.439108, 151.462822];[102.005983, 102.0384616667, 102.071265];[105.820748, 106.037498, 106.438691];[105.666039, 105.7579866667, 105.87083];[109.76194, 110.9411266667, 112.513077];[105.824512, 109.4069626667, 112.950461];[105.550054, 105.6157683333, 105.696374];[110.256329, 110.35311, 110.478499];[110.429817, 113.354586, 115.770514];[110.275758, 110.408476, 110.613084];[109.240342, 112.0371796667, 115.114822];[106.89144, 107.0385656667, 107.119546];[107.121301, 107.2562103333, 107.338861];[106.965198, 107.1964306667, 107.459276];[107.191502, 107.3467226667, 107.563982];[107.261451, 107.482429, 107.711095];[107.340556, 107.450035, 107.636214];[107.277498, 107.3736543333, 107.445997];[107.224626, 107.5073603333, 107.92976];[107.36571, 109.036304, 110.665277];[107.816602, 108.6426963333, 110.063142];[109.497643, 109.545564, 109.598389];[112.749266, 112.8851683333, 112.973456];[112.541455, 112.9428256667, 113.458405];[112.742806, 112.912275, 113.138154];[112.789905, 113.049391, 113.244624];[116.618763, 118.8340413333, 121.050505];[113.143968, 120.2258586667, 130.985577];[112.96724, 113.6805163333, 115.078584];[112.496103, 112.7177873333, 112.848106];[112.7919, 112.9617083333, 113.209656]
98.139.183.24;mPlane;[93.636, 94.8433333333, 96.674];[91.96, 93.8803333333, 96.407];[84.433, 84.7836666667, 85.166];[83.965, 84.0986666667, 84.19];[84.409, 84.531, 84.639];[83.938, 89.0496666667, 92.665];[91.898, 92.4616666667, 92.854];[84.053, 84.9513333333, 85.725];[89.914, 91.7223333333, 94.94];[84.614, 88.061, 94.954];[98.899, 99.178, 99.575];[84.657, 84.7636666667, 84.888];[84.99, 87.2173333333, 91.106];[84.455, 89.777, 100.262];[93.201, 93.5603333333, 94.237];[84.366, 84.63, 84.808];[85.692, 91.0696666667, 94.117];[84.883, 86.1213333333, 88.597];[84.673, 88.5346666667, 95.978];[84.497, 84.8933333333, 85.49];[86.078, 86.7956666667, 87.261];[84.613, 87.6696666667, 91.349];[96.036, 96.2673333333, 96.727];[84.975, 85.0643333333, 85.119];[97.006, 97.748, 99.003];[94.839, 95.4086666667, 96.311];[97.131, 98.0936666667, 99.361];[84.868, 87.909, 90.178];[85.038, 85.2496666667, 85.449];[84.758, 85.617, 87.147];[84.734, 85.4426666667, 86.293];[84.464, 90.2336666667, 93.816];[85.889, 94.1546666667, 98.883];[92.244, 94.6653333333, 97.463];[85.593, 88.741, 90.514];[90.714, 91.4803333333, 92.139]
98.139.183.24;LISP-Lab;[132.389775, 133.9329533333, 136.624955];[267.095945, 276.8587816667, 295.340035];[337.395645, 354.027425, 367.862895];[131.84583, 136.1056483333, 139.110305];[176.98203, 181.3366516667, 184.97212];[181.049765, 183.7764466667, 185.91494];[136.528115, 140.9756533333, 149.75833];[127.62928, 132.8732416667, 136.652075];[140.686465, 144.5514483333, 149.009325];[127.55954, 132.4326533333, 136.98506];[127.200155, 134.3582166667, 144.113685];[129.57159, 129.7880933333, 130.118945];[128.787195, 135.3774016667, 139.57892];[138.775785, 143.0261016667, 146.40554];[128.379165, 131.68267, 137.02188];[130.746395, 134.0636766667, 136.787355];[136.327975, 143.81097, 155.337175];[134.540975, 137.033715, 141.277155];[127.698765, 130.94528, 134.516675];[130.4554, 134.44055, 136.8956];[145.62002, 147.8085116667, 151.56915];[129.142945, 132.0949816667, 136.77641];[134.48576, 134.9344233333, 135.50567];[130.135435, 141.6876066667, 154.15294];[-1, -1, -1];[137.32318, 138.8271933333, 140.46988];[137.958225, 138.8388216667, 139.580125];[138.276045, 143.0232216667, 150.134475];[130.69693, 136.34833, 139.35679];[152.861235, 155.4520283333, 156.779285];[133.06794, 136.27969, 139.136695];[127.75997, 129.5349116667, 132.0243];[123.651185, 131.7415266667, 139.63412];[130.591315, 137.4362883333, 142.44361];[120.80385, 121.0122466667, 121.394715];[120.938725, 126.52523, 136.24349]
98.139.183.24;rmd;[93.99446, 94.2262266667, 94.448175];[94.21233, 95.7701083333, 98.148945];[92.260735, 93.4563516667, 94.12566];[91.883815, 92.7886183333, 94.28209];[91.65155, 91.8954816667, 92.076745];[92.42082, 93.680435, 94.75212];[91.67896, 92.6925316667, 94.206345];[91.86452, 92.6011133333, 93.907655];[91.670035, 92.8041916667, 94.46112];[91.89458, 93.2862416667, 94.047425];[92.183325, 93.802805, 95.04568];[92.021735, 92.06487, 92.108575];[92.388155, 92.901295, 93.910945];[92.48392, 99.2810283333, 111.063985];[94.52779, 95.7497916667, 97.992515];[94.492685, 96.2429033333, 97.39897];[92.049665, 93.1219366667, 94.71351];[92.42329, 93.8448666667, 94.8069];[93.96591, 94.39128, 95.018285];[94.041835, 94.3166316667, 94.84013];[92.34875, 94.10366, 95.24723];[91.885885, 93.5124583333, 94.52891];[92.634255, 94.00021, 94.70292];[92.252775, 93.4151083333, 95.052265];[191.814475, 193.6841716667, 194.98012];[92.60529, 98.4963383333, 109.78788];[91.959815, 94.1583633333, 96.10026];[96.979645, 99.1173416667, 102.83073];[92.350095, 93.6722633333, 94.808385];[92.421545, 93.948065, 94.74929];[182.005145, 187.29961, 194.33726];[100.25712, 102.42609, 104.0974];[101.62632, 103.7590033333, 105.564365];[101.31198, 102.8211333333, 103.645445];[102.962135, 103.6899483333, 104.538805]
205.251.242.54;mPlane;[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1]
205.251.242.54;rmd;[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1]
205.251.242.54;FranceIX;[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1]
205.251.242.54;LISP-Lab;[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1];[-1, -1, -1]
